,-1
5_dev8.5_wr_sec.s,55732.31948069458
5_bwrtn.s,55714.89138198982
4_pgfree.s,54486.632971346444
2_dev252.0_wr_sec.s,54080.364645299516
2_bwrtn.s,53087.97842923907
2_dev8.0_wr_sec.s,53068.054629759325
2_dev8.5_wr_sec.s,53068.054629759325
3_kbdirty,50460.80884784998
5_dev252.0_wr_sec.s,50095.669088949144
3_kbswpused,49347.85977734858
5_fault.s,47861.071073193525
3_pgpgout.s,45870.82679570257
2_cswch.s,45804.431798022786
4_kbbuffers,45142.52819519749
0_cswch.s,39619.41387639582
0_pgfree.s,39443.116232674416
2_fault.s,36915.51662222052
0_pgpgout.s,35539.428478937
3_inode.nr,34289.175074927116
4_pgpgout.s,33672.46737905249
1_cswch.s,33120.03898379528
5_pgpgout.s,32028.99533353516
5_cswch.s,31665.1906653094
1_pgfree.s,30607.205490533797
1_pgpgout.s,29649.67000338034
3_pgfree.s,29075.710737705416
5_X.dev.mapper.cloud..5.root_Ifree,28391.385304369116
2_X.dev.mapper.cloud..7.root_Ifree,28344.95289122804
3_X.dev.mapper.cloud..8.root_Ifree,28270.24728649446
4_X.dev.mapper.cloud..9.root_Ifree,28234.090089248228
0_X.dev.mapper.cloud..2.root_Ifree,28126.247947004984
1_X.dev.mapper.cloud..3.root_Ifree,27786.676941257214
2_pgpgout.s,27056.850915537518
3_kbswpcad,27027.769510888746
4_cswch.s,26897.569054104377
3_cswch.s,26700.419104751723
4_RxPacktes,26325.745553219378
4_RxPacktes.1,26325.745553219378
40_TxPacktes,26316.448847965254
40_TxPacktes.1,26316.448847965254
41_RxPacktes,26308.744026677992
41_RxPacktes.1,26308.744026677992
15_RxPacktes,26301.394494160348
15_RxPacktes.1,26301.394494160348
17_TxPacktes,26299.69410168225
17_TxPacktes.1,26299.69410168225
29_RxPacktes.1,26298.059682572435
29_RxPacktes,26298.059682572435
30_TxPacktes,26293.520840616064
30_TxPacktes.1,26293.520840616064
36_TxPacktes,25800.76360175575
36_TxPacktes.1,25800.76360175575
34_RxPacktes.1,25583.74051716918
34_RxPacktes,25583.74051716918
5_dev252.1_wr_sec.s,25499.74359705776
0_TxPacktes.1,25454.12233268382
0_TxPacktes,25454.12233268382
20_TxPacktes.1,25436.689818778083
20_TxPacktes,25436.689818778083
21_RxPacktes.1,25432.21980426053
21_RxPacktes,25432.21980426053
1_kbbuffers,22269.861070463376
0_kbdirty,22130.74927493853
5_kbbuffers,21944.90351037206
0_dev252.1_wr_sec.s,21040.703510749572
4_dev252.1_wr_sec.s,20331.13038306157
4_TxPacktes,19618.39498208634
4_TxPacktes.1,19618.39498208634
40_RxPacktes,19611.57111811335
40_RxPacktes.1,19611.57111811335
41_TxPacktes.1,19610.000835727988
41_TxPacktes,19610.000835727988
29_TxPacktes,19599.541316574727
29_TxPacktes.1,19599.541316574727
30_RxPacktes.1,19595.508539270853
30_RxPacktes,19595.508539270853
17_RxPacktes,19586.78725356757
17_RxPacktes.1,19586.78725356757
15_TxPacktes.1,19581.72249657645
15_TxPacktes,19581.72249657645
36_RxPacktes.1,19132.89067214615
36_RxPacktes,19132.89067214615
34_TxPacktes.1,19034.345531815827
34_TxPacktes,19034.345531815827
20_RxPacktes,18916.1607053655
20_RxPacktes.1,18916.1607053655
0_RxPacktes,18915.262967278657
0_RxPacktes.1,18915.262967278657
21_TxPacktes,18909.63247479719
21_TxPacktes.1,18909.63247479719
1_kbdirty,18640.899221226493
2_kbdirty,18122.437118170477
4_kbdirty,18048.556652234754
5_kbdirty,16868.342368630096
0_pgscank.s,13254.77718503281
0_pgsteal.s,13096.20063399726
5_pgsteal.s,11681.093782394297
5_pgscank.s,11387.457871387871
2_sum_intr.s,10889.594778925908
5_sum_intr.s,10499.735561562633
1_dev252.1_wr_sec.s,10495.706928846506
4_sum_intr.s,10308.660804937621
4_inode.nr,10219.226170631744
1_fault.s,10214.720205572556
0_dentunusd,10008.810868826245
1_sum_intr.s,9862.137517280413
0_fault.s,9741.643217165167
1_pgscank.s,9737.277009292988
1_pgsteal.s,9668.140466041881
5_dentunusd,9387.140873663458
0_sum_intr.s,9381.349418840444
5_dev252.0_rd_sec.s,8276.587198285502
5_dev8.5_rd_sec.s,8256.727067198819
5_dev8.0_rd_sec.s,8256.609717646066
5_bread.s,8249.33897068009
2_inode.nr,8174.968141578031
3_sum_intr.s,7919.118571586054
4_pgsteal.s,7910.628349802503
5_X.dev.mapper.cloud..5.root_MBfsused,7797.568708531433
5_X.dev.mapper.cloud..5.root_MBfsfree,7775.031448710301
4_X.dev.mapper.cloud..9.root_MBfsused,7743.8225562814905
4_X.dev.mapper.cloud..9.root_MBfsfree,7731.1145204504655
2_X.dev.mapper.cloud..7.root_MBfsused,7670.089278621653
4_pgscank.s,7669.987885975339
2_X.dev.mapper.cloud..7.root_MBfsfree,7658.66601169488
3_X.dev.mapper.cloud..8.root_MBfsused,7653.558994342263
3_X.dev.mapper.cloud..8.root_MBfsfree,7642.18589177898
0_X.dev.mapper.cloud..2.root_MBfsused,7573.1573881602035
1_X.dev.mapper.cloud..3.root_MBfsused,7565.847880020682
0_X.dev.mapper.cloud..2.root_MBfsfree,7551.937878150086
1_X.dev.mapper.cloud..3.root_MBfsfree,7544.914608451049
2_kbbuffers,7384.239486310167
2_dentunusd,7233.096183522101
4_dentunusd,7177.989152656815
2_pgsteal.s,6699.652931889544
0_bread.s,6529.5615884970875
0_dev8.0_rd_sec.s,6523.2009485895405
0_dev8.5_rd_sec.s,6523.123290435934
0_dev252.0_rd_sec.s,6426.972708483517
2_dev252.0_rd_sec.s,5852.012640177608
2_bread.s,5851.396670563699
2_dev8.0_rd_sec.s,5844.847114240214
2_dev8.5_rd_sec.s,5844.399362415901
2_pgscank.s,5806.338406874375
1_bread.s,5205.088487440777
1_dev8.0_rd_sec.s,5203.850422140935
1_dev8.5_rd_sec.s,5201.1497021468085
1_dev252.0_rd_sec.s,5199.736075467436
4_dev252.0_rd_sec.s,4982.573035664019
4_bread.s,4891.978896275158
4_dev8.5_rd_sec.s,4891.183701342325
4_dev8.0_rd_sec.s,4891.1508796325925
3_fault.s,4451.592445484015
35_RxPacktes,4345.645263422614
0_eth1_rxpck.s,4307.384781491623
1_RxPacktes,4300.998443827629
1_eth1_rxpck.s,4297.769091312599
32_TxPacktes,4294.805901269355
43_RxPacktes,4292.8050012204
31_RxPacktes,4292.775601055236
42_TxPacktes,4291.011931747233
5_TxPacktes,4288.781881422299
6_RxPacktes,4288.122698415392
25_TxPacktes,4281.225342059862
37_TxPacktes,4280.89482697747
38_RxPacktes,4280.677909835144
24_RxPacktes,4280.646712956005
22_TxPacktes,4279.816893888037
23_RxPacktes,4278.992469019992
2_eth1_rxpck.s,4216.749834362665
4_eth1_rxpck.s,4215.628139826748
3_eth1_rxpck.s,4207.5280196914855
5_pgpgin.s,4131.522644895585
5_eth1_rxpck.s,4111.865573238992
3_pgscank.s,3850.7643188214
3_pgsteal.s,3633.214192422064
