,0
1_i127_intr.s,0.13167160232078712
4_TxPacktes,0.06164512973315495
4_TxPacktes.1,0.058150120892392396
4_RxPacktes.1,0.03847945591501787
4_RxPacktes,0.036088615366803765
15_TxBytes,0.03530601788043569
4_TxBytes.1,0.03137681699522499
15_TxBytes.1,0.02605982464467658
41_TxBytes,0.017439152138496613
0_irec.s,0.016697626111580276
3_iseg.s,0.01545865407628928
4_TxBytes,0.015212899556873535
1_iseg.s,0.014655540897009307
3_irec.s,0.014410915745512974
0_iseg.s,0.009062733876148022
2_passive.s,0.008624008295246306
1_inode.nr,0.007630203686492175
0_idel.s,0.006589036932844671
40_RxBytes.1,0.006369860396386796
2_i139_intr.s,0.006154662250906178
4_irec.s,0.005657485299321315
41_TxBytes.1,0.005511894055615164
4_iseg.s,0.005417452716695007
17_TxPacktes,0.005396403146693791
15_RxPacktes.1,0.005199259211755843
41_RxPacktes.1,0.004906305302616469
3_idel.s,0.00468392450514534
2_retrans.s_2,0.004532713018965801
5_idel.s,0.004424913806179741
3_orq.s,0.00386181565554708
1_idel.s,0.003795926527697659
2_i136_intr.s,0.0037853316770973004
3_oseg.s,0.0035884345172508413
1_i132_intr.s,0.003588327022442388
4_orq.s,0.003493867483961703
3_kbinact,0.0032617650937522974
3_totsck,0.003230836691244246
1_retrans.s_2,0.0031048395850338407
5_cpu11_.idle,0.0030666578877569777
3_retrans.s_2,0.0029926302371634213
2_totsck,0.002954147108576234
4_i118_intr.s,0.002945953519851076
15_TxPacktes.1,0.002821496035726056
1_i128_intr.s,0.002820677906569621
1_irec.s,0.0027654263391478475
4_i123_intr.s,0.0027384517394065306
3_atmptf.s,0.0026206220063127654
5_iseg.s,0.002530927030422328
41_TxPacktes.1,0.0024546323142125206
3_i126_intr.s,0.002403507403763908
17_RxBytes.1,0.0022850089723943853
4_inode.nr,0.0022449136749492418
1_i129_intr.s,0.0022262718486723656
4_i124_intr.s,0.0021881270365536796
5_cpu11_.sys,0.0020684384589081182
3_i130_intr.s,0.002042028084624162
3_tcpsck,0.002006576875903176
41_TxPacktes,0.0019823653156701244
5_oseg.s,0.0018709530850917
40_TxPacktes,0.0018209211722041857
30_RxBytes.1,0.0018068893451014983
2_kbbuffers,0.0017734761683394047
4_oseg.s,0.0017421101566917883
3_eth1_.ifutil,0.0016728388340878442
40_TxPacktes.1,0.001667420591625975
30_RxBytes,0.0016546743833209367
0_i131_intr.s,0.0015585511427100682
40_RxBytes,0.0015521574653650494
1_totsck,0.0015118264746948442
17_RxPacktes.1,0.001484877709430854
3_sum_intr.s,0.0014113774851114175
1_eth1_rxkB.s,0.0013962711259263199
17_TxPacktes.1,0.001386563107993808
4_cpu20_.idle,0.0012988902259020243
3_kbbuffers,0.001273812925300847
41_RxPacktes,0.0012632650404079421
2_kbactive,0.00125575541495141
0_eth1_txkB.s,0.0012377894996243647
1_passive.s,0.0012227792954004602
5_ldavg.1,0.0012212027314254018
29_TxPacktes.1,0.0012104919711518477
35_RxBytes,0.0012101381923260133
3_eth1_rxkB.s,0.0012099756948132944
2_oseg.s,0.001197074457834915
2_i142_intr.s,0.0011923542481754772
1_tcp6sck,0.0011808373296501968
3_i133_intr.s,0.0011696631091747775
4_idel.s,0.0011564278034395625
4_i126_intr.s,0.0011561981337656494
30_RxPacktes.1,0.0011402809255976509
29_RxPacktes,0.0011340098807093152
29_TxBytes,0.00112060013602254
0_eth1_txpck.s,0.0011038973813793996
5_kbswpcad,0.0010973007361234353
2_kbinact,0.0010897334667862436
2_ldavg.15,0.0010878720119845294
0_i127_intr.s,0.001068019773458389
2_eth1_rxkB.s,0.0009929451920628947
30_RxPacktes,0.0009844602168462377
3_eth1_txkB.s,0.0009813632446044097
17_RxBytes,0.0009754452406752302
1_temp1_.temp,0.0009542654408937426
4_retrans.s_2,0.0009490771796685017
