,-1
36_TxBytes,12609.9571313834
36_TxBytes.1,12609.9571313834
34_TxBytes,11728.208174002686
34_TxBytes.1,11728.208174002686
0_TxBytes,9626.55627939614
0_TxBytes.1,9626.55627939614
20_TxBytes,9220.531523860636
20_TxBytes.1,9220.531523860636
4_TxBytes.1,8744.030249870488
4_TxBytes,8744.030249870488
17_TxBytes,8402.403758901302
17_TxBytes.1,8402.403758901302
15_TxBytes,8379.196031218125
15_TxBytes.1,8379.196031218125
40_TxBytes,8374.195623349933
40_TxBytes.1,8374.195623349933
30_TxBytes,8064.868042366884
30_TxBytes.1,8064.868042366884
36_RxBytes,8028.521411568732
36_RxBytes.1,8028.521411568732
21_TxBytes,7813.573479685883
21_TxBytes.1,7813.573479685883
29_TxBytes.1,7778.221884680037
29_TxBytes,7778.221884680037
41_TxBytes.1,7708.216175917349
41_TxBytes,7708.216175917349
34_RxBytes,7257.178795386995
34_RxBytes.1,7257.178795386995
21_RxBytes,6078.562942639734
21_RxBytes.1,6078.562942639734
20_RxBytes,5696.733502449569
20_RxBytes.1,5696.733502449569
0_RxBytes.1,5482.125090234253
0_RxBytes,5482.125090234253
4_RxBytes,5353.343783669105
4_RxBytes.1,5353.343783669105
40_RxBytes,5333.349462968925
40_RxBytes.1,5333.349462968925
15_RxBytes.1,5215.2627336225105
15_RxBytes,5215.2627336225105
41_RxBytes.1,5169.1018629631835
41_RxBytes,5169.1018629631835
17_RxBytes,5025.57846751298
17_RxBytes.1,5025.57846751298
29_RxBytes,4966.219365444275
29_RxBytes.1,4966.219365444275
30_RxBytes.1,4723.626914923879
30_RxBytes,4723.626914923879
5_TxBytes,2718.219642982012
35_TxBytes,2582.7037630067894
37_TxBytes,2570.316011052722
22_TxBytes,2503.0316368125023
25_TxBytes,2471.1904236713212
42_TxBytes,2401.0687116142044
35_RxBytes,2171.4108261460974
32_TxBytes,2092.940150155771
24_TxBytes,1892.9485932372506
6_TxBytes,1823.1491620339796
38_TxBytes,1794.211500826707
23_TxBytes,1779.7005525443558
6_RxBytes,1654.709822506949
1_RxBytes,1587.739002964326
1_TxBytes,1552.2151086443891
38_RxBytes,1548.5424378140544
24_RxBytes,1527.6694679874988
23_RxBytes,1492.02099570831
3_kbactive,1483.226633097367
43_RxBytes,1474.7768122512193
31_TxBytes,1425.6724973283103
1_kbactive,1415.4801480499957
5_kbactive,1413.8405938902158
2_kbactive,1375.0168314213267
4_kbactive,1320.6134222103583
31_RxBytes,1304.9465411291465
0_kbactive,1274.2880361449334
4_kbmemused,1239.2295025367275
4_kbmemfree,1236.7982105525227
43_TxBytes,1130.7053191582856
25_RxBytes,1130.0561340873057
37_RxBytes,1121.2875835598918
2_kbmemused,1102.8293579444598
2_kbmemfree,1101.0700314688304
5_kbmemused,1075.706536936603
5_kbmemfree,1073.7800497030364
1_kbmemused,1069.7870159881927
1_kbmemfree,1067.7425158475685
22_RxBytes,1039.606982910169
5_RxBytes,1034.6233385617338
0_kbmemused,976.6311326801188
0_kbmemfree,974.3999926538726
5_kbcached,906.6567621549378
2_kbcached,870.8245717252552
3_kbmemused,835.9393294078326
3_kbmemfree,835.040316154934
32_RxBytes,779.1542162439208
1_kbcached,753.1074786532704
0_kbcached,730.5159223278553
42_RxBytes,718.0998769925685
3_kbinact,705.4582776225367
4_kbcached,653.564427999122
1_kbinact,494.99199209775134
5_kbinact,351.0526578975294
2_kbinact,297.7799649668395
3_kbcached,297.30130201982956
0_kbinact,249.16611194461944
2_kbswpfree,216.35236987174474
2_kbswpused,215.9392447429035
4_kbinact,173.45908127965336
2_bwrtn.s,161.96324749931858
2_dev8.0_wr_sec.s,161.96324749931858
2_dev8.5_wr_sec.s,161.96324749931858
2_dev252.0_wr_sec.s,161.96324749931858
0_kbdirty,137.44343680660103
2_kbswpcad,134.83132233233272
3_dev8.0_wr_sec.s,132.53515733556893
