,score
4_i124_intr.s,0.6664483368919494
0_i131_intr.s,0.6574254760300281
4_i123_intr.s,0.6555469805104703
1_i129_intr.s,0.6538604082664874
1_i127_intr.s,0.6536575254313157
4_iseg.s,0.6522559988771173
4_idel.s,0.6520725125744637
4_irec.s,0.6520613729713328
1_iseg.s,0.65096302702774
1_irec.s,0.6507586765439793
1_idel.s,0.6507512053670762
4_i119_intr.s,0.6498497139324715
1_i131_intr.s,0.6489781962595745
0_iseg.s,0.6488205708228656
3_idel.s,0.6487247106899361
3_irec.s,0.6487061464204849
3_iseg.s,0.6486536103889019
0_idel.s,0.6485915809049223
0_irec.s,0.6485887566358725
3_i133_intr.s,0.646012420125163
4_eth1_rxpck.s,0.6459260691464547
2_i136_intr.s,0.6452865803777664
2_i141_intr.s,0.6446225962605765
0_eth1_rxpck.s,0.6440002474496492
4_orq.s,0.6435036514646515
2_iseg.s,0.6422466713250983
2_irec.s,0.641881347790646
2_idel.s,0.6418807906163848
3_i132_intr.s,0.6413081182321225
4_oseg.s,0.6412841231231617
1_i132_intr.s,0.6411723076371715
0_orq.s,0.6397527415435457
3_orq.s,0.6391671446549111
1_orq.s,0.6389865894414317
0_oseg.s,0.6389715210381562
4_i118_intr.s,0.6384762940062221
0_i128_intr.s,0.6384446446025658
2_eth1_txpck.s,0.6381282685449471
2_orq.s,0.6379303168002957
3_oseg.s,0.6376802789386654
5_i141_intr.s,0.6375619829845649
1_oseg.s,0.6372204847791141
3_i129_intr.s,0.6371750082923267
2_i142_intr.s,0.636833046682878
2_oseg.s,0.636825693818599
2_eth1_rxpck.s,0.6362994070579131
0_eth1_txpck.s,0.6357721489700668
4_eth1_txpck.s,0.6347956736997847
3_i126_intr.s,0.634162113768417
2_i135_intr.s,0.6332824058762355
3_i128_intr.s,0.632904132056402
0_i133_intr.s,0.6326355288103315
5_oseg.s,0.6304936716194416
4_eth1_rxkB.s,0.6297077807437487
1_i128_intr.s,0.6294725235175517
41_RxPacktes,0.6288196821944383
41_RxPacktes.1,0.6288196821944383
0_i127_intr.s,0.6284058004196518
40_TxPacktes,0.628242567001272
40_TxPacktes.1,0.628242567001272
41_RxBytes.1,0.6279602444885496
41_RxBytes,0.6279602444885496
40_RxPacktes,0.6276480438816554
40_RxPacktes.1,0.6276480438816554
2_i138_intr.s,0.6274145257388019
41_TxPacktes,0.6272795301984216
41_TxPacktes.1,0.6272795301984216
30_TxPacktes,0.626992847250447
30_TxPacktes.1,0.626992847250447
0_eth1_rxkB.s,0.6269041261840949
29_TxPacktes.1,0.6267862070713913
29_TxPacktes,0.6267862070713913
29_RxPacktes,0.6267276599030537
29_RxPacktes.1,0.6267276599030537
40_RxBytes.1,0.6265286657127884
40_RxBytes,0.6265286657127884
3_eth1_rxpck.s,0.6262821189436254
30_RxPacktes,0.6262533520253699
30_RxPacktes.1,0.6262533520253699
5_orq.s,0.6261025331620687
