,-1
34_TxBytes.1,459.16430063455346
34_TxBytes,459.16430063455346
36_RxBytes.1,309.3681060441915
36_RxBytes,309.3681060441915
0_TxBytes.1,240.9717053037731
0_TxBytes,240.9717053037731
20_TxBytes.1,238.6263188308082
20_TxBytes,238.6263188308082
37_TxBytes,195.0002629888224
25_TxBytes,180.67991927025227
5_TxBytes,179.60262464120734
30_TxBytes,178.7067907880122
30_TxBytes.1,178.7067907880122
21_RxBytes,177.7483835299158
21_RxBytes.1,177.7483835299158
17_TxBytes,174.56271365640393
17_TxBytes.1,174.56271365640393
40_TxBytes.1,162.0407026298643
40_TxBytes,162.0407026298643
34_RxBytes,149.9380133938291
34_RxBytes.1,149.9380133938291
22_TxBytes,139.25686728217806
24_RxBytes,131.38836101026868
6_RxBytes,129.153897112454
38_RxBytes,129.03711682271475
36_TxBytes,128.65963327556568
36_TxBytes.1,128.65963327556568
23_RxBytes,108.06403097190753
15_RxBytes.1,102.9853016331964
15_RxBytes,102.9853016331964
29_RxBytes.1,100.76399008751139
29_RxBytes,100.76399008751139
1_RxBytes,94.25168461038129
41_RxBytes.1,91.94189725917812
41_RxBytes,91.94189725917812
31_RxBytes,90.03349239068824
4_RxBytes,88.50052432975293
4_RxBytes.1,88.50052432975293
35_RxBytes,87.03950916494902
24_TxBytes,77.42942656652707
43_RxBytes,72.24584170614055
4_TxBytes,71.81591510688712
4_TxBytes.1,71.81591510688712
38_TxBytes,69.75582899141537
6_TxBytes,68.85128215230759
20_RxBytes.1,62.851314829216115
20_RxBytes,62.851314829216115
32_TxBytes,51.797527595778156
5_fault.s,51.623412049848994
43_TxBytes,50.44648700339963
23_TxBytes,49.39559916659777
29_TxBytes,47.22126785411913
29_TxBytes.1,47.22126785411913
15_TxBytes,44.20449185414734
15_TxBytes.1,44.20449185414734
25_RxBytes,43.86205461555436
41_TxBytes,39.23706831316042
41_TxBytes.1,39.23706831316042
37_RxBytes,38.09434621626774
22_RxBytes,37.93179739650582
5_RxBytes,37.45260290856454
0_RxBytes,36.02288236035946
0_RxBytes.1,36.02288236035946
1_TxBytes,29.57638353278231
31_TxBytes,27.264833558914656
40_RxBytes,24.337526628759814
40_RxBytes.1,24.337526628759814
30_RxBytes,23.62870671853611
17_RxBytes,23.62870671853611
30_RxBytes.1,23.62870671853611
17_RxBytes.1,23.62870671853611
21_TxBytes,14.067232306275436
21_TxBytes.1,14.067232306275436
42_RxBytes,13.188546609242366
5_cswch.s,11.548482425564613
32_RxBytes,11.107048539373839
35_TxBytes,10.79777445908139
2_dev252.0_wr_sec.s,10.061651974227232
2_dev8.5_wr_sec.s,10.061651974227232
2_bwrtn.s,10.061651974227232
2_dev8.0_wr_sec.s,10.061651974227232
3_kbdirty,8.511559613365085
5_sum_intr.s,8.115106857459798
2_pgpgout.s,5.030825987113616
0_kbactive,4.479628286501618
1_kbactive,4.233998010719269
5_kbmemused,3.8468177722730026
5_kbmemfree,3.8467134891233252
2_kbactive,3.580371702731659
