,0
1_eth1_txpck.s,0.07956866824104487
1_i127_intr.s,0.07484972058186772
1_i129_intr.s,0.07150005989840404
1_orq.s,0.06827657180352588
1_oseg.s,0.04634377733340697
1_irec.s,0.04558937318581012
1_iseg.s,0.040284505809387014
1_cpu12_.usr,0.03567090215950836
1_idel.s,0.035614862690804876
3_i130_intr.s,0.028950767435126923
1_i132_intr.s,0.013321540643568977
2_eth1_rxpck.s,0.012962087752916011
0_i132_intr.s,0.01214300773053627
1_cpu0_.soft,0.011832686755273911
1_sum_intr.s,0.011391403673986552
3_cswch.s,0.010819734603709481
1_cpu20_.usr,0.009287711679713205
1_cpu10_.usr,0.008522525426767501
3_i131_intr.s,0.008161278050949862
5_i141_intr.s,0.008029319668252622
4_i119_intr.s,0.007201076018628621
3_iseg.s,0.006944954208083694
21_TxBytes.1,0.00693123043795955
5_i138_intr.s,0.006394001942852759
3_idel.s,0.00637493965195502
1_cpu2_.usr,0.006258806815294045
1_i128_intr.s,0.006200417649258712
4_ldavg.15,0.006102811403166983
1_cpu14_.soft,0.0060842494662019225
1_i131_intr.s,0.005926303676788521
3_fault.s,0.005743963287442243
1_cpu0_.usr,0.005630393104336012
3_i126_intr.s,0.005521101697074726
1_cpu13_.idle,0.005466971325130285
1_cpu6_.usr,0.005365782279420914
1_cpu16_.usr,0.0053410168521671785
1_cpu15_.sys,0.005215537461240396
0_kbdirty,0.005089979838903332
0_temp2_degC,0.005053483837336286
5_cpu20_.sys,0.0038602570131141354
1_cpu18_.usr,0.0036663740165606045
0_orq.s,0.0032053178563068467
2_cpu8_.usr,0.003203895699129764
17_RxBytes,0.003188835304654192
0_dev8.5_rd_sec.s,0.0031329313777989365
1_runq.sz,0.0030775546896668676
1_cpu22_.usr,0.002990742362519491
3_eth1_rxkB.s,0.0029873079311050848
1_cpu0_.iowait,0.0029280819440663675
1_cpu8_.usr,0.0028650888625042004
3_dev252.0_.util,0.0028084949944721096
5_eth1_rxpck.s,0.002763221090594997
5_i139_intr.s,0.00274142173415641
4_cpu2_.sys,0.0027115930564984296
1_eth1_txkB.s,0.002588619498918675
1_cswch.s,0.002538178842397945
2_cpu0_.iowait,0.0025161919287965467
0_ldavg.1,0.0025059835694264624
1_cpu22_.iowait,0.002499772804119823
0_dev8.0_rd_sec.s,0.0024340297818318092
1_RxPacktes,0.002398284286597932
1_dev252.0_.util,0.002372916674869294
0_eth1_txkB.s,0.002359185138401899
4_cpu5_.sys,0.0023435913635952484
1_all_..usr,0.002281848132796782
3_dev8.5_wr_sec.s,0.0022669685802540838
0_frmpg.s,0.0022462049265243905
1_tps,0.0022403570356863303
2_cpu10_.sys,0.00223837957629794
2_eth1_txpck.s,0.0021692494171648494
1_RxBytes,0.0021522312513986576
1_cpu6_.sys,0.0021149891904835424
2_cpu8_.iowait,0.0021113001934402287
1_cpu19_.sys,0.0021109374455628733
4_cpu0_.iowait,0.002106828710318888
3_passive.s,0.002066507118805262
1_passive.s,0.002060532165809203
0_i129_intr.s,0.0020593708019553546
1_all_..soft,0.002058123067697319
1_cpu6_.iowait,0.0020048651709207474
