,-1
2_cpu1_.iowait,229439554.63159084
2_all_..iowait,9563957.862762878
21_TxBytes.1,2034471.3798824225
21_TxBytes,2034471.3798824225
34_TxBytes,2031898.7459542123
34_TxBytes.1,2031898.7459542123
0_kbinact,2001180.5017734345
4_TxBytes,1907058.4948058168
4_TxBytes.1,1907058.4948058168
15_TxBytes.1,1903158.4240714302
15_TxBytes,1903158.4240714302
29_TxBytes,1897549.1394827187
29_TxBytes.1,1897549.1394827187
41_TxBytes.1,1893740.4349341388
41_TxBytes,1893740.4349341388
36_TxBytes,1783838.7274416762
36_TxBytes.1,1783838.7274416762
0_TxBytes.1,1652608.1816228465
0_TxBytes,1652608.1816228465
20_TxBytes,1648711.5057521989
20_TxBytes.1,1648711.5057521989
1_kbinact,1592769.0690561007
0_kbactive,1570664.7243912627
40_TxBytes,1564019.3516957378
40_TxBytes.1,1564019.3516957378
17_TxBytes.1,1554544.8321982163
17_TxBytes,1554544.8321982163
30_TxBytes.1,1553919.387679777
30_TxBytes,1553919.387679777
36_RxBytes.1,1260865.9307824937
36_RxBytes,1260865.9307824937
20_RxBytes.1,1152026.249732013
20_RxBytes,1152026.249732013
0_RxBytes,1150512.6316858956
0_RxBytes.1,1150512.6316858956
40_RxBytes.1,1069850.641038276
40_RxBytes,1069850.641038276
17_RxBytes,1068660.9251382127
17_RxBytes.1,1068660.9251382127
30_RxBytes,1065845.596244789
30_RxBytes.1,1065845.596244789
34_RxBytes,1009770.986638025
34_RxBytes.1,1009770.986638025
21_RxBytes,1005849.5974146802
21_RxBytes.1,1005849.5974146802
1_kbactive,991915.4739989223
41_RxBytes.1,942648.8959963426
41_RxBytes,942648.8959963426
15_RxBytes.1,939387.4388963751
15_RxBytes,939387.4388963751
4_RxBytes,939114.9472331939
4_RxBytes.1,939114.9472331939
29_RxBytes.1,936017.7126174921
29_RxBytes,936017.7126174921
5_kbinact,852909.9599911892
1_kbmemfree,650577.6697098217
4_kbmemfree,615331.4333602795
4_kbmemused,597220.8426104941
3_kbmemfree,593443.7022053096
3_kbmemused,588066.6292484083
2_kbactive,581304.7770278533
1_kbmemused,578736.0843081455
5_kbmemfree,556732.1799211248
5_kbmemused,531566.6199111464
4_kbcached,516107.7744019957
3_kbcached,504482.0138921503
5_kbcached,495553.9255164334
3_kbactive,493306.2307863405
2_kbmemused,492681.6283822854
2_kbmemfree,492560.12556271924
1_kbcached,487697.10660152405
0_kbmemfree,481959.42493604525
4_kbinact,461809.5676506884
0_kbmemused,415016.7427468658
2_kbcached,408916.4165965801
5_kbactive,337481.6860211192
0_kbcached,335006.25887927687
4_kbactive,265311.0334357535
35_TxBytes,242546.01913176622
1_TxBytes,233351.218813332
23_TxBytes,232164.94585774312
6_TxBytes,231568.32032052556
43_TxBytes,230808.5302102086
31_TxBytes,229916.96783445688
38_TxBytes,229583.0133571501
24_TxBytes,229566.27736285917
32_TxBytes,202338.3358110733
42_TxBytes,199893.3618202243
5_TxBytes,199448.9199935947
37_TxBytes,198323.8667916525
25_TxBytes,197084.35233504372
22_TxBytes,196626.26448734457
42_RxBytes,138743.33405491622
22_RxBytes,138598.80007714478
32_RxBytes,138526.57052829835
5_RxBytes,138407.59044426013
37_RxBytes,138303.97082087066
25_RxBytes,138038.43890613143
35_RxBytes,128168.3537168819
31_RxBytes,127224.09429830313
43_RxBytes,125006.83133897356
1_RxBytes,124623.91224312701
6_RxBytes,124094.63942846305
23_RxBytes,122825.85470997437
38_RxBytes,122530.8453168729
24_RxBytes,122470.83889725512
2_kbinact,110720.37830377009
3_kbinact,93219.10824781873
4_kbcommit,87310.88007178046
0_kbcommit,81325.38871067876
3_kbcommit,80557.3419203153
2_kbcommit,75780.82585117224
1_kbcommit,72868.46667840487
0_kbswpused,55932.30055651358
0_kbswpfree,53469.99871950022
0_kbswpcad,51175.37479474584
5_kbcommit,42223.283834265414
1_kbswpcad,27904.453476588234
1_kbswpused,25991.365887909902
1_kbswpfree,25069.489837259403
3_dev252.0_wr_sec.s,8520.26495199042
3_dev8.0_wr_sec.s,8184.3068232413725
3_dev8.5_wr_sec.s,8184.3068232413725
3_bwrtn.s,8184.3068232413725
5_fault.s,7267.266840262008
0_dev8.0_wr_sec.s,6691.492022338769
0_dev8.5_wr_sec.s,6691.448966781657
0_bwrtn.s,6687.024163755358
0_dev252.0_wr_sec.s,6122.20354492378
3_kbdirty,5612.1055583925345
4_dev252.0_wr_sec.s,5481.856190575524
4_dev8.0_wr_sec.s,5362.438330888112
4_dev8.5_wr_sec.s,5362.438330888112
4_bwrtn.s,5343.229895827579
2_fault.s,5252.064954610937
1_bwrtn.s,4721.05413375546
1_dev8.5_wr_sec.s,4712.65908787401
1_dev8.0_wr_sec.s,4712.65908787401
