,-1
36_TxBytes,8172.536094619954
36_TxBytes.1,8172.536094619954
34_TxBytes,7968.289149570914
34_TxBytes.1,7968.289149570914
36_RxBytes,6117.684484465008
36_RxBytes.1,6117.684484465008
34_RxBytes,5564.513090021233
34_RxBytes.1,5564.513090021233
20_TxBytes.1,5388.245862539103
20_TxBytes,5388.245862539103
21_TxBytes,4772.513505789769
21_TxBytes.1,4772.513505789769
0_TxBytes.1,4543.806517144221
0_TxBytes,4543.806517144221
4_TxBytes.1,4458.490812741141
4_TxBytes,4458.490812741141
15_TxBytes,4454.477151804017
15_TxBytes.1,4454.477151804017
40_TxBytes.1,4405.21375321548
40_TxBytes,4405.21375321548
41_TxBytes,4373.575219244577
41_TxBytes.1,4373.575219244577
29_TxBytes.1,4200.564513036453
29_TxBytes,4200.564513036453
17_TxBytes.1,3846.740115219761
17_TxBytes,3846.740115219761
21_RxBytes.1,3824.531174426358
21_RxBytes,3824.531174426358
30_TxBytes,3586.8177846232275
30_TxBytes.1,3586.8177846232275
20_RxBytes,3207.1291997570847
20_RxBytes.1,3207.1291997570847
40_RxBytes.1,2815.6815500251537
40_RxBytes,2815.6815500251537
41_RxBytes,2808.3214082611003
41_RxBytes.1,2808.3214082611003
17_RxBytes.1,2660.1590981310587
17_RxBytes,2660.1590981310587
0_RxBytes,2628.301203749079
0_RxBytes.1,2628.301203749079
30_RxBytes,2548.0995025331063
30_RxBytes.1,2548.0995025331063
4_RxBytes.1,2526.736373707104
4_RxBytes,2526.736373707104
15_RxBytes.1,2487.7937287360824
15_RxBytes,2487.7937287360824
29_RxBytes,2274.840588854578
29_RxBytes.1,2274.840588854578
35_TxBytes,1441.997080306641
37_TxBytes,1133.2899139526937
25_TxBytes,1115.4375637810438
5_TxBytes,1048.4438216572564
35_RxBytes,990.7246890629315
38_TxBytes,940.8999988098986
23_TxBytes,922.1710171131793
24_TxBytes,920.1424629420369
22_TxBytes,863.2122763381163
6_TxBytes,843.9520674482937
24_RxBytes,695.0238309499248
38_RxBytes,688.6722622558825
6_RxBytes,663.1781751260522
32_TxBytes,618.3109948519501
42_TxBytes,587.0701874906728
37_RxBytes,584.2768476898023
25_RxBytes,582.289996329596
1_TxBytes,579.3833986108729
22_RxBytes,552.5716112039979
1_RxBytes,548.7074641100028
5_RxBytes,534.4512338932644
23_RxBytes,532.832988901953
31_TxBytes,528.2656108116934
31_RxBytes,411.9119221870673
43_TxBytes,394.99814763621407
43_RxBytes,355.3068769830197
32_RxBytes,306.5805852113041
0_kbactive,280.71499379592734
2_kbactive,245.65047227903517
42_RxBytes,240.17005849253638
2_kbmemfree,229.63236838540712
2_kbmemused,229.58686047092775
0_kbmemfree,229.0897866831861
0_kbmemused,229.07414779384465
1_kbmemfree,181.79954067396432
1_kbmemused,181.7250611683602
1_kbactive,178.8496647713624
3_kbactive,157.98379094082566
3_kbmemfree,131.4211736637555
3_kbmemused,131.36669655235147
4_kbactive,128.11827319726436
2_kbcached,123.32736905772916
0_kbcached,97.86277966408706
4_kbmemfree,95.43658354479761
4_kbmemused,95.43170333981743
5_kbactive,83.49284845401661
1_sum_intr.s,77.38529955670472
0_kbinact,70.72759462364034
5_kbmemused,68.80972934273295
5_kbmemfree,68.80936831839986
0_kbcommit,45.974931422216855
3_sum_intr.s,43.82829167171486
2_kbinact,41.76030431930979
1_fault.s,41.317030273634124
5_kbcached,40.451121902946085
0_fault.s,39.30362459652221
3_kbinact,38.622319093808656
0_kbdirty,36.12572145524217
1_kbcached,36.00082456060356
2_kbswpused,35.997933587812994
2_kbswpfree,35.96498531024465
3_cswch.s,34.338360413764455
1_kbinact,34.002516482486534
2_fault.s,32.83144256682379
0_pgfree.s,32.31681919460097
4_pgfree.s,26.772525380103033
0_sum_intr.s,23.4039631528388
4_kbcached,22.840250665577525
36_TxPacktes.1,21.17666370999938
36_TxPacktes,21.17666370999938
1_frmpg.s,21.122173169496065
0_cswch.s,21.07280841896541
1_cswch.s,20.70848667842532
34_RxPacktes.1,19.93790843599904
34_RxPacktes,19.93790843599904
5_frmpg.s,19.43089650621605
5_kbinact,19.02174515279563
3_frmpg.s,18.891596221152767
