,score
0_all_..usr,1.0
3_cpu13_.soft,1.0
3_kbcached,1.0
3_X..memused,1.0
3_kbmemused,1.0
3_sum_intr.s,1.0
3_cswch.s,1.0
3_cpu18_.idle,1.0
3_cpu17_.idle,1.0
3_cpu17_.usr,1.0
3_all_..idle,1.0
2_dev8.0_.util,1.0
3_all_..sys,1.0
2_oseg.s,1.0
2_iseg.s,1.0
2_dev252.0_.util,1.0
2_dev252.0_svctm,1.0
2_dev252.0_await,1.0
2_dev252.0_avgqu.sz,1.0
2_dev8.5_.util,1.0
3_kbactive,1.0
3_eth1_rxpck.s,1.0
3_temp3_degC,1.0
3_temp3_.temp,1.0
4_i120_intr.s,1.0
4_i118_intr.s,1.0
4_i117_intr.s,1.0
4_sum_intr.s,1.0
4_cpu20_.usr,1.0
4_cpu19_.idle,1.0
4_cpu18_.usr,1.0
4_cpu17_.sys,1.0
4_cpu14_.soft,1.0
4_cpu4_.idle,1.0
4_cpu4_.soft,1.0
4_cpu4_.usr,1.0
4_cpu2_.idle,1.0
4_cpu0_.idle,1.0
4_cpu0_.iowait,1.0
4_all_..idle,1.0
4_all_..soft,1.0
2_dev8.5_await,1.0
2_dev8.0_await,1.0
1_i133_intr.s,1.0
1_temp3_degC,1.0
2_cpu8_.usr,1.0
2_cpu6_.sys,1.0
2_all_..iowait,1.0
2_all_..sys,1.0
2_all_..usr,1.0
1_temp4_.temp,1.0
1_temp4_degC,1.0
1_temp3_.temp,1.0
1_orq.s,1.0
2_dev8.0_avgqu.sz,1.0
1_idel.s,1.0
1_irec.s,1.0
1_eth1_.ifutil,1.0
1_eth1_rxkB.s,1.0
1_eth1_rxpck.s,1.0
1_kbdirty,1.0
1_kbmemused,1.0
1_frmpg.s,1.0
2_cpu8_.iowait,1.0
2_cpu8_.soft,1.0
2_cpu16_.sys,1.0
2_cpu18_.usr,1.0
2_ldavg.15,1.0
2_ldavg.5,1.0
2_kbactive,1.0
2_kbmemused,1.0
2_campg.s,1.0
2_pgfree.s,1.0
2_fault.s,1.0
2_i142_intr.s,1.0
2_i140_intr.s,1.0
2_i138_intr.s,1.0
2_i137_intr.s,1.0
2_i136_intr.s,1.0
2_sum_intr.s,1.0
2_cpu23_.idle,1.0
2_cpu20_.idle,1.0
2_cpu19_.idle,1.0
2_cpu18_.idle,1.0
4_i121_intr.s,1.0
4_i122_intr.s,1.0
4_i123_intr.s,1.0
21_RxBytes,1.0
31_TxBytes,1.0
31_RxBytes,1.0
31_TxPacktes,1.0
30_TxBytes,1.0
29_RxBytes,1.0
25_RxBytes,1.0
24_TxBytes,1.0
23_TxBytes,1.0
21_TxPacktes,1.0
4_i124_intr.s,1.0
21_RxPacktes,1.0
20_TxBytes,1.0
20_RxPacktes,1.0
17_TxBytes,1.0
17_RxPacktes,1.0
15_RxBytes,1.0
4_RxBytes,1.0
1_TxBytes,1.0
40_RxBytes,1.0
41_TxPacktes,1.0
41_RxBytes,1.0
41_TxBytes,1.0
41_RxBytes.1,1.0
41_TxPacktes.1,1.0
40_RxBytes.1,1.0
30_TxBytes.1,1.0
29_RxBytes.1,1.0
21_RxBytes.1,1.0
21_TxPacktes.1,1.0
21_RxPacktes.1,1.0
20_TxBytes.1,1.0
20_RxPacktes.1,1.0
17_TxBytes.1,1.0
17_RxPacktes.1,1.0
15_RxBytes.1,1.0
4_RxBytes.1,1.0
43_RxBytes,1.0
43_TxPacktes,1.0
42_TxPacktes,1.0
1_RxBytes,1.0
1_TxPacktes,1.0
5_temp2_.temp,1.0
5_cpu14_.idle,1.0
5_cpu8_.idle,1.0
5_cpu6_.idle,1.0
5_cpu5_.idle,1.0
5_cpu4_.idle,1.0
5_cpu0_.idle,1.0
5_cpu0_.sys,1.0
5_all_..idle,1.0
4_temp4_.temp,1.0
4_temp3_.temp,1.0
4_oseg.s,1.0
4_iseg.s,1.0
4_eth1_txpck.s,1.0
4_dev252.0_svctm,1.0
4_dev8.5_svctm,1.0
4_kbactive,1.0
4_kbmemused,1.0
4_fault.s,1.0
5_cpu14_.usr,1.0
5_cpu18_.idle,1.0
5_temp2_degC,1.0
5_cpu20_.sys,1.0
5_temp1_.temp,1.0
5_temp1_degC,1.0
5_iseg.s,1.0
5_orq.s,1.0
5_idel.s,1.0
5_irec.s,1.0
5_eth1_rxkB.s,1.0
5_kbcached,1.0
5_kbmemused,1.0
5_fault.s,1.0
5_i139_intr.s,1.0
5_i138_intr.s,1.0
5_i136_intr.s,1.0
5_cswch.s,1.0
5_cpu22_.idle,1.0
5_cpu22_.usr,1.0
5_cpu21_.idle,1.0
1_pgfree.s,1.0
41_TxBytes.1,1.0
0_fault.s,1.0
0_cswch.s,1.0
0_cpu0_.idle,1.0
0_kbactive,1.0
0_cpu14_.usr,1.0
0_cpu21_.sys,1.0
1_cpu14_.idle,1.0
0_kbcached,1.0
0_kbmemused,1.0
1_cpu16_.sys,1.0
1_cswch.s,1.0
0_eth1_rxkB.s,1.0
0_cpu0_.sys,1.0
0_sum_intr.s,1.0
0_cpu12_.idle,1.0
0_cpu10_.soft,1.0
0_cpu12_.soft,1.0
1_cpu20_.sys,1.0
0_pgfree.s,1.0
1_cpu4_.idle,1.0
0_i133_intr.s,1.0
0_i129_intr.s,1.0
0_cpu14_.iowait,1.0
0_cpu21_.usr,1.0
1_cpu12_.usr,1.0
0_all_..soft,1.0
0_cpu14_.soft,1.0
1_cpu10_.usr,1.0
1_i126_intr.s,1.0
1_i129_intr.s,1.0
1_cpu6_.sys,1.0
1_i130_intr.s,1.0
3_cpu20_.sys,0.9999999999999999
3_cpu22_.sys,0.9999999999999999
2_dev8.0_rd_sec.s,0.9999999999999999
5_kbdirty,0.9999999999999999
5_eth1_txpck.s,0.9999999999999999
2_dev8.0_tps,0.9999999999999999
1_cpu0_.idle,0.9999999999999999
5_eth1_rxpck.s,0.9999999999999999
3_cpu13_.sys,0.9999999999999999
15_TxPacktes,0.9999999999999999
2_ldavg.1,0.9999999999999999
6_TxBytes,0.9999999999999999
2_X.dev.mapper.cloud..7.root_MBfsused,0.9999999999999999
3_cpu22_.usr,0.9999999999999999
5_dev8.5_svctm,0.9999999999999999
5_dev8.0_svctm,0.9999999999999999
3_cpu19_.sys,0.9999999999999999
3_cpu15_.sys,0.9999999999999999
0_cpu23_.idle,0.9999999999999999
5_RxBytes,0.9999999999999999
2_orq.s,0.9999999999999999
1_all_..idle,0.9999999999999999
0_cpu19_.idle,0.9999999999999999
4_cswch.s,0.9999999999999999
0_RxBytes,0.9999999999999999
1_all_..sys,0.9999999999999999
0_RxPacktes,0.9999999999999999
0_X.dev.mapper.cloud..2.root_MBfsused,0.9999999999999999
2_dev8.5_avgqu.sz,0.9999999999999999
5_X.dev.mapper.cloud..5.root_MBfsused,0.9999999999999999
2_dev8.5_rd_sec.s,0.9999999999999999
0_i126_intr.s,0.9999999999999999
2_dev8.5_tps,0.9999999999999999
2_eth1_rxkB.s,0.9999999999999999
5_oseg.s,0.9999999999999999
0_cpu18_.idle,0.9999999999999999
2_irec.s,0.9999999999999999
2_dev8.0_svctm,0.9999999999999999
1_cpu0_.sys,0.9999999999999999
2_idel.s,0.9999999999999999
5_kbactive,0.9999999999999999
2_dev252.0_rd_sec.s,0.9999999999999999
