,score
2_passive.s,0.5836014518061156
5_cpu11_.iowait,0.5836014518061147
5_pgfree.s,0.5559981931214203
5_frmpg.s,0.5490503511697098
5_cpu11_.sys,0.5195254388847779
4_i124_intr.s,0.48284183591071
5_i141_intr.s,0.48235192611968014
4_iseg.s,0.48059298985011584
1_i129_intr.s,0.4800137000600882
4_idel.s,0.4799812123696014
4_irec.s,0.47997136281009795
1_iseg.s,0.47915358852667106
1_irec.s,0.47824493869863727
1_idel.s,0.4781804591372597
0_i131_intr.s,0.4754853445782512
3_i126_intr.s,0.47270132120554514
1_i131_intr.s,0.46639702871593003
5_irec.s,0.4655484881254392
5_idel.s,0.46539925279185357
3_iseg.s,0.46530116959064594
3_idel.s,0.465175365919499
5_iseg.s,0.46516831630245264
3_irec.s,0.4651440582682118
1_i132_intr.s,0.4646631380860728
1_i128_intr.s,0.4644879677990935
0_iseg.s,0.4634790341550699
0_irec.s,0.4629444643760938
0_idel.s,0.4629301890287631
4_i119_intr.s,0.4627292662938728
5_i139_intr.s,0.4609325015843851
4_i123_intr.s,0.45726554654110224
2_iseg.s,0.4562298543655859
4_eth1_rxpck.s,0.4557518505609887
2_idel.s,0.4546986366485089
2_irec.s,0.45467465085984765
2_i139_intr.s,0.4532541752139122
2_i142_intr.s,0.4523631717606804
1_i127_intr.s,0.45202515341744176
5_oseg.s,0.44956748549289427
5_orq.s,0.4494487303152253
2_i141_intr.s,0.4492607492947584
2_i135_intr.s,0.4482332259442803
4_i122_intr.s,0.4475984401452677
2_i136_intr.s,0.4453726154547715
3_i129_intr.s,0.443510169728937
3_i133_intr.s,0.443066409234626
5_i136_intr.s,0.44135212454710754
4_orq.s,0.4397771161988936
0_eth1_rxpck.s,0.43930169562402344
4_i120_intr.s,0.43913749867930146
3_orq.s,0.43779230326130747
2_orq.s,0.43763654384150275
4_i118_intr.s,0.43659141694053694
3_i127_intr.s,0.43625786019187285
0_i128_intr.s,0.43533138687932377
3_i132_intr.s,0.4334386008850997
1_orq.s,0.432339494632938
3_oseg.s,0.4322913806167617
2_oseg.s,0.43225258250999177
5_i142_intr.s,0.4308754515077445
2_eth1_txpck.s,0.43048975210484636
4_oseg.s,0.42993634465200103
4_i117_intr.s,0.42922519298201595
0_orq.s,0.4285681542826692
3_i128_intr.s,0.42761998983385174
5_i137_intr.s,0.42607053138060574
0_oseg.s,0.42488049658142585
1_oseg.s,0.4245745529641144
0_i127_intr.s,0.4227702307764656
2_eth1_rxpck.s,0.4222595767232567
0_i133_intr.s,0.42183296248141233
0_i129_intr.s,0.4216501036339629
2_i138_intr.s,0.421584305909238
4_i121_intr.s,0.4189518105202432
3_i131_intr.s,0.4178236432197805
5_cpu11_.usr,0.41703018514242574
4_eth1_txpck.s,0.4144893114920892
0_i132_intr.s,0.41190724372448045
0_eth1_txpck.s,0.4116513193731613
2_i140_intr.s,0.4115208155261729
0_i130_intr.s,0.40946206349836317
1_i133_intr.s,0.40619789375197335
5_i138_intr.s,0.4020456038891885
3_i130_intr.s,0.40050681270738214
41_RxBytes.1,0.3991257897111624
41_RxBytes,0.3991257897111624
40_TxBytes,0.3983000650696865
40_TxBytes.1,0.3983000650696865
15_RxPacktes.1,0.39664013717875846
15_RxPacktes,0.39664013717875846
0_eth1_rxkB.s,0.3965040839307232
29_TxPacktes,0.3956540289359045
29_TxPacktes.1,0.3956540289359045
4_RxBytes,0.39513471269369754
4_RxBytes.1,0.39513471269369754
15_RxBytes,0.39456873124761715
15_RxBytes.1,0.39456873124761715
5_i140_intr.s,0.3944037792550592
30_RxPacktes.1,0.3943225103156846
30_RxPacktes,0.3943225103156846
4_eth1_rxkB.s,0.39417067151953633
41_RxPacktes.1,0.39244357961085713
41_RxPacktes,0.39244357961085713
15_TxPacktes.1,0.3923209645808509
15_TxPacktes,0.3923209645808509
30_TxBytes.1,0.39228266398971473
30_TxBytes,0.39228266398971473
4_TxPacktes,0.39206535340303234
4_TxPacktes.1,0.39206535340303234
30_TxPacktes,0.39171616336025794
30_TxPacktes.1,0.39171616336025794
40_RxPacktes,0.39167457037551734
40_RxPacktes.1,0.39167457037551734
17_RxPacktes,0.3916551717503719
17_RxPacktes.1,0.3916551717503719
17_TxPacktes,0.39152278026250736
17_TxPacktes.1,0.39152278026250736
2_eth1_.ifutil,0.39097142524594847
41_TxPacktes.1,0.3909561284583294
41_TxPacktes,0.3909561284583294
17_TxBytes.1,0.39060890005659266
17_TxBytes,0.39060890005659266
40_TxPacktes.1,0.39043845638795405
40_TxPacktes,0.39043845638795405
2_eth1_txkB.s,0.39023626310812143
29_RxPacktes.1,0.3901794327858711
29_RxPacktes,0.3901794327858711
29_RxBytes.1,0.3901770062652419
29_RxBytes,0.3901770062652419
1_eth1_rxpck.s,0.388768801909136
4_TxBytes.1,0.3882865508727208
4_TxBytes,0.3882865508727208
29_TxBytes.1,0.3870146984203853
29_TxBytes,0.3870146984203853
30_RxBytes.1,0.38532505418705004
30_RxBytes,0.38532505418705004
4_RxPacktes.1,0.38489985503182816
4_RxPacktes,0.38489985503182816
1_eth1_txpck.s,0.38465088119491675
15_TxBytes.1,0.38403444728545
15_TxBytes,0.38403444728545
40_RxBytes.1,0.38397745861504545
40_RxBytes,0.38397745861504545
41_TxBytes,0.38384514460051206
41_TxBytes.1,0.38384514460051206
17_RxBytes.1,0.38362983986810123
17_RxBytes,0.38362983986810123
3_eth1_rxpck.s,0.3835931443278069
2_i137_intr.s,0.38154664275303635
2_eth1_rxkB.s,0.38061945778136386
3_eth1_txpck.s,0.3792696950862223
1_i130_intr.s,0.3789196119356649
5_eth1_txpck.s,0.3784052068447777
20_TxBytes.1,0.37636485308386614
20_TxBytes,0.37636485308386614
0_TxBytes,0.37614591790680196
0_TxBytes.1,0.37614591790680196
21_TxPacktes.1,0.37460035564382327
21_TxPacktes,0.37460035564382327
5_ldavg.15,0.37258408892660855
21_RxBytes,0.3725799264385541
21_RxBytes.1,0.3725799264385541
0_RxPacktes,0.37169159253501627
0_RxPacktes.1,0.37169159253501627
20_TxPacktes,0.37058325363886024
20_TxPacktes.1,0.37058325363886024
20_RxPacktes.1,0.37017439250657536
20_RxPacktes,0.37017439250657536
21_RxPacktes.1,0.3695431504529535
21_RxPacktes,0.3695431504529535
21_TxBytes.1,0.3677661088405079
21_TxBytes,0.3677661088405079
0_RxBytes,0.3666754273648274
0_RxBytes.1,0.3666754273648274
20_RxBytes.1,0.36501476843803443
20_RxBytes,0.36501476843803443
5_ldavg.5,0.3639562959770028
0_TxPacktes,0.36257516112831256
0_TxPacktes.1,0.36257516112831256
5_i135_intr.s,0.36011567809276307
34_RxBytes,0.35798420612200665
34_RxBytes.1,0.35798420612200665
0_eth1_txkB.s,0.3542258676408802
5_eth1_rxpck.s,0.3529257650843666
0_eth1_.ifutil,0.35127293178651775
34_RxPacktes,0.35067007366900954
34_RxPacktes.1,0.35067007366900954
34_TxBytes,0.3464172543991128
34_TxBytes.1,0.3464172543991128
4_eth1_.ifutil,0.34398201842702836
4_eth1_txkB.s,0.34201405795699413
5_rtps,0.33775874128796796
1_i126_intr.s,0.33755166048617674
4_kbswpfree,0.33634874397050607
34_TxPacktes.1,0.33430822346775074
34_TxPacktes,0.33430822346775074
36_TxBytes.1,0.3338971108563505
36_TxBytes,0.3338971108563505
5_kbinact,0.33209790531390493
3_kbactive,0.33185895580665165
1_kbactive,0.33047842244634085
2_kbbuffers,0.330076639700044
3_kbbuffers,0.3292512017006286
3_X..swpcad,0.32819639630929587
2_kbactive,0.3266162400034817
4_kbmemused,0.32530764680981317
4_X..memused,0.3252392768188557
4_kbbuffers,0.3245089930508005
4_kbactive,0.3243353596460117
4_X.dev.mapper.cloud..9.root_.ufsused,0.3238114036510296
1_X.dev.mapper.cloud..3.root_.fsused,0.32380276803042873
0_kbactive,0.3234562817675746
1_X.dev.mapper.cloud..3.root_MBfsused,0.32317319845111525
3_X.dev.mapper.cloud..8.root_.ufsused,0.32302644683083287
0_kbbuffers,0.3225370679182916
4_X.dev.mapper.cloud..9.root_MBfsused,0.32248749846061825
2_X.dev.mapper.cloud..7.root_.ufsused,0.3222862356411949
1_X.dev.mapper.cloud..3.root_.ufsused,0.32217771109338444
3_kbswpfree,0.32209974372021205
2_kbcached,0.3220385151908752
2_kbmemused,0.3219751654045861
2_X.dev.mapper.cloud..7.root_.fsused,0.3218689613260802
4_kbswpcad,0.3217642302343251
1_X..memused,0.3216969168026977
1_kbbuffers,0.32167633238139776
2_X.dev.mapper.cloud..7.root_MBfsused,0.32160218467196433
4_kbcached,0.32154515920351384
3_X.dev.mapper.cloud..8.root_.fsused,0.3212564681413748
1_kbmemused,0.3212530965764481
3_X.dev.mapper.cloud..8.root_MBfsused,0.32094384323025626
1_eth1_rxkB.s,0.3208045219097018
3_kbcached,0.3207465771561383
0_X.dev.mapper.cloud..2.root_MBfsused,0.320685541874395
3_kbmemused,0.3206254915353498
2_X..memused,0.3205182980582044
3_X..memused,0.32051792393055517
4_X.dev.mapper.cloud..9.root_.fsused,0.32025360803994146
1_kbcached,0.3202242344993132
0_kbmemused,0.32013083553598765
0_X..memused,0.3198687992646387
3_X.dev.mapper.cloud..8.root_Iused,0.3194284356538759
0_kbcached,0.31928285762167397
0_X.dev.mapper.cloud..2.root_.fsused,0.31876281950176166
1_X.dev.mapper.cloud..3.root_Iused,0.31823024262816507
0_X.dev.mapper.cloud..2.root_Iused,0.31767238451251145
0_X.dev.mapper.cloud..2.root_.ufsused,0.3173094008807748
4_X.dev.mapper.cloud..9.root_Iused,0.3169992299029427
2_X.dev.mapper.cloud..7.root_Iused,0.31637904171299674
3_kbswpcad,0.31631098777416183
3_eth1_rxkB.s,0.31610170452792785
4_X..swpcad,0.31483332010979614
1_eth1_.ifutil,0.31479120767905666
0_kbswpfree,0.3146818181993626
3_eth1_txkB.s,0.3111144912851744
1_eth1_txkB.s,0.3079957429812916
0_dentunusd,0.30749570849643443
5_dev252.0_tps,0.3074231471452044
3_eth1_.ifutil,0.3063359091492845
36_TxPacktes,0.3060032980900717
36_TxPacktes.1,0.3060032980900717
5_dentunusd,0.30363553661435394
1_dentunusd,0.3035218357003597
5_pgpgin.s,0.3034101094605414
3_dentunusd,0.3034056460143827
5_bread.s,0.30320898712574773
5_dev8.5_rd_sec.s,0.3027916170639682
5_dev8.0_rd_sec.s,0.3027916170639682
0_i126_intr.s,0.30257408533398805
0_X..swpcad,0.3014467588422622
5_dev252.0_rd_sec.s,0.3010528073549357
36_RxPacktes,0.29755183028614696
36_RxPacktes.1,0.29755183028614696
36_RxBytes,0.29686372751025847
36_RxBytes.1,0.29686372751025847
5_cpu18_.usr,0.2944936876790105
3_ldavg.15,0.2894586547312736
1_ldavg.15,0.2861716575472562
3_sum_intr.s,0.28324683086845404
5_i116_intr.s,0.2800922879002512
4_dev252.0_rd_sec.s,0.2767790481023102
5_dev8.0_tps,0.27492077706468265
5_dev8.5_tps,0.27484815687125796
5_tps,0.27480599792552945
4_pgpgin.s,0.27374153716088784
4_dev8.5_rd_sec.s,0.27190337482587423
4_dev8.0_rd_sec.s,0.27190337482587423
0_ldavg.5,0.2718924521792969
4_bread.s,0.2699992411049654
0_ldavg.1,0.26259691149913017
4_cpu12_.sys,0.26217163030368185
2_dentunusd,0.25103413918717954
5_cpu18_.iowait,0.24341488709715328
5_eth1_.ifutil,0.237240386732714
5_eth1_txkB.s,0.23705113572282363
5_temp2_degC,0.22933402601310032
5_temp1_degC,0.22933402601310032
5_temp1_.temp,0.22873956206514312
5_temp2_.temp,0.22873956206514312
3_file.nr,0.22647306141132237
5_eth1_rxkB.s,0.22457900089404256
1_temp1_degC,0.22120451353947052
1_temp1_.temp,0.22110255615883925
1_cpu7_.sys,0.21895742806229526
2_inode.nr,0.21619646691556216
