,-1
41_TxBytes.1,0.0
2_cpu20_.usr,0.0
2_i130_intr.s,0.0
2_i127_intr.s,0.0
2_i126_intr.s,0.0
2_i116_intr.s,0.0
2_sum_intr.s,0.0
2_cswch.s,0.0
2_cpu23_.idle,0.0
2_cpu22_.idle,0.0
2_cpu21_.idle,0.0
2_cpu20_.idle,0.0
2_cpu20_.soft,0.0
2_cpu20_.sys,0.0
2_cpu19_.idle,0.0
2_i136_intr.s,0.0
2_cpu18_.idle,0.0
2_cpu18_.sys,0.0
2_cpu17_.idle,0.0
2_cpu16_.idle,0.0
2_cpu16_.sys,0.0
2_cpu15_.idle,0.0
2_cpu15_.sys,0.0
2_cpu14_.idle,0.0
2_cpu13_.idle,0.0
2_cpu12_.idle,0.0
2_cpu12_.iowait,0.0
2_cpu12_.sys,0.0
2_i135_intr.s,0.0
2_i137_intr.s,0.0
2_cpu10_.idle,0.0
2_kbmemused,0.0
2_kbswpcad,0.0
2_X..swpused,0.0
2_kbswpused,0.0
2_kbswpfree,0.0
2_kbdirty,0.0
2_kbinact,0.0
2_kbactive,0.0
2_X..commit,0.0
2_kbcommit,0.0
2_kbcached,0.0
2_kbbuffers,0.0
2_X..memused,0.0
2_kbmemfree,0.0
2_i138_intr.s,0.0
2_campg.s,0.0
2_frmpg.s,0.0
2_bread.s,0.0
2_rtps,0.0
2_tps,0.0
2_pgfree.s,0.0
2_fault.s,0.0
2_pgpgin.s,0.0
2_i142_intr.s,0.0
2_i141_intr.s,0.0
2_i140_intr.s,0.0
2_i139_intr.s,0.0
2_cpu11_.idle,0.0
2_cpu10_.soft,0.0
41_RxBytes.1,0.0
1_eth1_.ifutil,0.0
1_temp1_degC,0.0
1_tcp6sck,0.0
1_oseg.s,0.0
1_iseg.s,0.0
1_oerr.s,0.0
1_otm.s,0.0
1_iechr.s,0.0
1_imsg.s,0.0
1_orq.s,0.0
1_idel.s,0.0
1_irec.s,0.0
1_totsck,0.0
1_eth1_txkB.s,0.0
1_temp2_degC,0.0
1_eth1_rxkB.s,0.0
1_eth1_txpck.s,0.0
1_eth1_rxpck.s,0.0
1_eth0_txkB.s,0.0
1_eth0_rxkB.s,0.0
1_eth0_txpck.s,0.0
1_eth0_rxpck.s,0.0
1_dev252.0_.util,0.0
1_dev252.0_svctm,0.0
1_dev252.0_await,0.0
1_dev252.0_avgqu.sz,0.0
1_dev252.0_avgrq.sz,0.0
1_temp1_.temp,0.0
1_temp2_.temp,0.0
2_cpu10_.sys,0.0
2_cpu0_.usr,0.0
2_cpu10_.usr,0.0
2_cpu9_.idle,0.0
2_cpu8_.idle,0.0
2_cpu7_.idle,0.0
2_cpu6_.idle,0.0
2_cpu6_.sys,0.0
2_cpu5_.idle,0.0
2_cpu4_.idle,0.0
2_cpu3_.idle,0.0
2_cpu2_.idle,0.0
2_cpu1_.idle,0.0
2_cpu0_.idle,0.0
2_all_..idle,0.0
1_temp3_degC,0.0
2_all_..soft,0.0
2_all_..sys,0.0
2_all_..usr,0.0
1_X.dev.mapper.cloud..3.root_Iused,0.0
1_X.dev.mapper.cloud..3.root_Ifree,0.0
1_X.dev.mapper.cloud..3.root_.ufsused,0.0
1_X.dev.mapper.cloud..3.root_.fsused,0.0
1_X.dev.mapper.cloud..3.root_MBfsused,0.0
1_X.dev.mapper.cloud..3.root_MBfsfree,0.0
1_temp4_.temp,0.0
1_temp4_degC,0.0
1_temp3_.temp,0.0
2_X..swpcad,0.0
2_dentunusd,0.0
2_file.nr,0.0
3_cpu9_.idle,0.0
3_cpu16_.idle,0.0
3_cpu16_.sys,0.0
3_cpu15_.idle,0.0
3_cpu15_.usr,0.0
3_cpu14_.idle,0.0
3_cpu13_.idle,0.0
3_cpu13_.soft,0.0
3_cpu13_.sys,0.0
3_cpu13_.usr,0.0
3_cpu12_.idle,0.0
3_cpu11_.idle,0.0
3_cpu10_.idle,0.0
3_cpu8_.idle,0.0
3_cpu18_.sys,0.0
3_cpu7_.idle,0.0
3_cpu6_.idle,0.0
3_cpu5_.idle,0.0
3_cpu4_.idle,0.0
3_cpu3_.idle,0.0
3_cpu2_.idle,0.0
3_cpu1_.idle,0.0
3_cpu0_.idle,0.0
3_cpu0_.iowait,0.0
3_all_..idle,0.0
3_all_..soft,0.0
3_all_..iowait,0.0
3_cpu17_.idle,0.0
3_cpu18_.idle,0.0
2_inode.nr,0.0
3_i126_intr.s,0.0
3_wtps,0.0
3_tps,0.0
3_pgfree.s,0.0
3_fault.s,0.0
3_pgpgout.s,0.0
3_i133_intr.s,0.0
3_i132_intr.s,0.0
3_i131_intr.s,0.0
3_i130_intr.s,0.0
3_i129_intr.s,0.0
3_i128_intr.s,0.0
3_i127_intr.s,0.0
3_i123_intr.s,0.0
3_cpu19_.idle,0.0
3_i120_intr.s,0.0
3_i117_intr.s,0.0
3_i116_intr.s,0.0
3_i022_intr.s,0.0
3_sum_intr.s,0.0
3_cswch.s,0.0
3_cpu23_.idle,0.0
3_cpu23_.sys,0.0
