,score
3_cpu16_.usr,0.5354721846751097
1_cpu6_.sys,0.47946160722135184
0_cpu14_.usr,0.45723749153753135
0_cpu2_.soft,0.4389764696690372
0_cpu4_.idle,0.4232571719096148
4_campg.s,0.4146711490213833
5_cpu15_.sys,0.4122406362590542
0_cswch.s,0.3978537236397525
4_cpu18_.sys,0.39444502104911644
2_cpu18_.idle,0.3805364183390107
3_cpu8_.idle,0.369288950840442
1_kbdirty,0.3602279240143263
0_cpu21_.usr,0.34851037590072415
0_cpu17_.idle,0.3470273242058824
1_cpu6_.usr,0.3413602487120609
2_frmpg.s,0.3397331925452892
19_TxBytes,0.33935116588670483
19_TxPacktes,0.33935116588670483
18_TxPacktes,0.33935116588670483
18_TxBytes,0.33935116588670483
16_TxPacktes,0.33935116588670483
16_TxBytes,0.33935116588670483
4_pgfree.s,0.3362804002241735
3_cpu18_.idle,0.332458119141677
2_X.dev.mapper.cloud..7.root_Ifree,0.3316241903112381
5_dev252.0_tps,0.3255595520393775
0_cpu8_.idle,0.3249012715745074
5_temp2_.temp,0.32472221182820854
5_temp1_.temp,0.32472221182820854
2_cpu6_.soft,0.32447765416421787
2_cpu6_.iowait,0.3238401602235995
5_temp2_degC,0.32352662845468616
5_temp1_degC,0.32352662845468616
2_bwrtn.s,0.3220460923138252
2_dev8.5_wr_sec.s,0.3220460923138252
2_pgpgout.s,0.3220460923138252
2_dev252.0_wr_sec.s,0.3220460923138252
2_dev8.0_wr_sec.s,0.3220460923138252
1_cpu2_.usr,0.3182815501787469
4_cpu16_.iowait,0.3180921038690243
2_dev8.5_avgqu.sz,0.3120742898478415
2_dev8.0_avgqu.sz,0.30948433159763183
1_cpu7_.usr,0.30895941746103583
2_dev252.0_avgrq.sz,0.30739668255403685
3_kbinact,0.30600874905646763
4_ldavg.15,0.30433528586564085
2_i137_intr.s,0.302680252692252
2_dev8.0_avgrq.sz,0.30104415944426655
0_sum_intr.s,0.3004765196385492
4_dev252.0_svctm,0.29989956410942464
2_dev8.5_avgrq.sz,0.2991027232730279
2_cpu22_.idle,0.2950751272363733
1_cpu9_.usr,0.2950732891884044
1_cpu11_.usr,0.2950732891884044
4_cpu7_.usr,0.2950732891884043
1_cpu19_.usr,0.2950732891884043
2_blocked,0.2950732891884043
0_cpu21_.sys,0.2947535386199738
0_cpu16_.soft,0.2923440496303986
5_cpu9_.usr,0.2923440496303985
3_cpu1_.sys,0.2923440496303985
1_i118_intr.s,0.2923440496303985
1_cpu18_.soft,0.2923440496303985
1_i124_intr.s,0.2923440496303985
4_cpu11_.idle,0.2896645333760245
40_RxPacktes,0.28946512445093625
40_RxPacktes.1,0.28946512445093625
0_cpu10_.idle,0.2856509301479853
3_cpu2_.usr,0.28533879675837
4_ldavg.5,0.2851712065793598
4_cpu10_.sys,0.2850021359025117
