,score
2_i136_intr.s,0.43505486257446285
2_idel.s,0.4053038470901915
2_irec.s,0.4051787468679328
2_iseg.s,0.404693012428252
4_eth1_rxpck.s,0.3933931612669465
4_i119_intr.s,0.37669163663342836
1_kbdirty,0.3744694589669266
2_i137_intr.s,0.37092359814480086
4_i124_intr.s,0.3505693513080085
4_orq.s,0.3499614050426201
4_oseg.s,0.3486613967159784
34_TxBytes,0.34817266052363294
34_TxBytes.1,0.34817266052363294
4_iseg.s,0.34730663016436775
4_irec.s,0.3469270000396257
4_idel.s,0.3467750664386017
5_plist.sz,0.3439787890158415
2_oseg.s,0.3424297256836006
0_temp2_degC,0.34094414159595426
2_orq.s,0.3407343904678756
4_eth1_txpck.s,0.33873309787658157
0_temp2_.temp,0.3384440798317763
1_i129_intr.s,0.33626401234953734
4_campg.s,0.332410298602905
1_cpu22_.iowait,0.3287024784015194
1_cpu2_.usr,0.3281874493901853
1_plist.sz,0.32615178094925595
4_eth1_rxkB.s,0.3259947823487458
1_iseg.s,0.3236983799765245
0_cpu22_.soft,0.32344811444570953
1_idel.s,0.3234399309769574
1_irec.s,0.3232509157772049
5_fault.s,0.3220749602247105
36_RxBytes,0.3219626159181773
36_RxBytes.1,0.3219626159181773
4_i121_intr.s,0.3219311124895876
4_i120_intr.s,0.3204957817772928
2_i141_intr.s,0.3193065178418252
0_orq.s,0.3188084818307636
4_i123_intr.s,0.31772991967388325
15_TxBytes,0.3171026974006435
15_TxBytes.1,0.3171026974006435
1_cpu22_.usr,0.31644886560742674
4_cpu22_.iowait,0.3161340765029807
0_oseg.s,0.31605693195882734
3_cpu18_.idle,0.31530990407706155
1_cpu16_.soft,0.3147622714340932
5_cpu20_.soft,0.31450090056043456
0_i131_intr.s,0.314486697950441
1_i133_intr.s,0.3131168769388537
5_tcp6sck,0.3116958446202461
3_passive.s,0.3116958446202461
5_totsck,0.3116958446202461
5_proc.s,0.3116958446202459
5_active.s,0.3116958446202459
1_i131_intr.s,0.3106969074333485
2_eth1_.ifutil,0.3093377315417769
2_eth1_txkB.s,0.3082406279843237
1_cpu14_.iowait,0.3075873927652366
5_i136_intr.s,0.3048736340966839
0_cpu20_.iowait,0.30291967658603836
4_cpu10_.soft,0.301922494986276
1_all_..sys,0.3019020371155107
