,score
1_i127_intr.s,0.7286922770758691
2_i136_intr.s,0.7232635224068803
4_iseg.s,0.7232311951768179
4_idel.s,0.7231430350944745
4_irec.s,0.7231382501218857
1_iseg.s,0.7214806609780653
1_idel.s,0.721333149237032
1_irec.s,0.7213320192586933
4_i123_intr.s,0.7209686322103201
3_i133_intr.s,0.7205320981712936
3_iseg.s,0.719902522060412
3_idel.s,0.719738495626998
3_irec.s,0.7197157028223531
4_orq.s,0.718295709407591
1_orq.s,0.7177729135520969
3_orq.s,0.7177527535793469
4_oseg.s,0.717446639482237
2_iseg.s,0.7173369744793825
4_i124_intr.s,0.7172487810324595
2_idel.s,0.7171259278540633
2_irec.s,0.7171217019030319
3_oseg.s,0.7168073430923765
0_iseg.s,0.7167115350500957
2_orq.s,0.7166333780958475
0_irec.s,0.7165031583579368
0_idel.s,0.7164989317769213
4_i118_intr.s,0.7163028790179801
2_oseg.s,0.7161707366686846
1_oseg.s,0.7160393672066139
1_i131_intr.s,0.715876320260211
1_i132_intr.s,0.7149196731058104
4_eth1_rxpck.s,0.7148915314736523
0_i131_intr.s,0.7138772458084974
2_i141_intr.s,0.7131606474736321
4_eth1_txpck.s,0.7111030247559146
4_i119_intr.s,0.7110277567219506
0_i128_intr.s,0.7108420702151593
0_orq.s,0.7106580246218108
2_i142_intr.s,0.7095889377237131
2_eth1_txpck.s,0.7093220825823096
2_eth1_rxpck.s,0.7086839036573058
0_oseg.s,0.7084419467489389
5_oseg.s,0.7079796655924596
0_eth1_rxpck.s,0.7073794017453118
3_i127_intr.s,0.7045607506639646
5_i141_intr.s,0.7045367328824311
3_i129_intr.s,0.7044282499747972
5_orq.s,0.7041639719984267
2_i139_intr.s,0.704136445063686
15_RxPacktes,0.7040672259214273
15_RxPacktes.1,0.7040672259214273
41_RxPacktes.1,0.7038808281933344
41_RxPacktes,0.7038808281933344
30_TxPacktes.1,0.7037261147678849
30_TxPacktes,0.7037261147678849
29_RxPacktes.1,0.7035724285242523
29_RxPacktes,0.7035724285242523
0_i133_intr.s,0.7035246516260383
40_TxPacktes,0.7035060101374523
40_TxPacktes.1,0.7035060101374523
17_TxPacktes.1,0.7034065142558925
17_TxPacktes,0.7034065142558925
1_i129_intr.s,0.7033590930857262
40_RxPacktes,0.7032982207020224
40_RxPacktes.1,0.7032982207020224
15_TxBytes.1,0.7032351212304497
15_TxBytes,0.7032351212304497
29_TxPacktes.1,0.7031201060002273
29_TxPacktes,0.7031201060002273
41_TxPacktes.1,0.703088061062406
41_TxPacktes,0.703088061062406
17_RxBytes,0.7030456012450459
17_RxBytes.1,0.7030456012450459
3_eth1_txpck.s,0.7029625052774913
40_RxBytes.1,0.7027962613904588
40_RxBytes,0.7027962613904588
41_RxBytes.1,0.7027957484050961
41_RxBytes,0.7027957484050961
30_RxPacktes,0.7026875714340676
30_RxPacktes.1,0.7026875714340676
3_i132_intr.s,0.702625588841778
15_TxPacktes.1,0.7025981950436244
15_TxPacktes,0.7025981950436244
2_i135_intr.s,0.7024549132823124
17_RxPacktes,0.7022934202622931
17_RxPacktes.1,0.7022934202622931
3_eth1_rxpck.s,0.7022598898491448
41_TxBytes,0.7020656792343927
41_TxBytes.1,0.7020656792343927
0_eth1_txpck.s,0.7017227337065642
29_RxBytes,0.7015437469012032
29_RxBytes.1,0.7015437469012032
30_RxBytes,0.7014817596319031
30_RxBytes.1,0.7014817596319031
29_TxBytes.1,0.7014667985774247
29_TxBytes,0.7014667985774247
4_RxPacktes,0.701314650338241
4_RxPacktes.1,0.701314650338241
15_RxBytes,0.7012156871764373
15_RxBytes.1,0.7012156871764373
4_RxBytes,0.7010010274072418
4_RxBytes.1,0.7010010274072418
0_i127_intr.s,0.7009628971118983
40_TxBytes.1,0.700920155529071
40_TxBytes,0.700920155529071
4_TxBytes.1,0.7006935186463099
4_TxBytes,0.7006935186463099
4_TxPacktes.1,0.7006591778834238
4_TxPacktes,0.7006591778834238
30_TxBytes,0.7003581989372473
30_TxBytes.1,0.7003581989372473
1_eth1_txpck.s,0.699738647146176
17_TxBytes.1,0.6994793282055657
17_TxBytes,0.6994793282055657
5_iseg.s,0.6993621635694656
5_irec.s,0.6993513314090176
5_idel.s,0.6993293097036657
2_eth1_rxkB.s,0.6991709956891031
3_i128_intr.s,0.699069005479789
5_eth1_txpck.s,0.6987332640686481
1_eth1_rxpck.s,0.6985513205900987
0_eth1_rxkB.s,0.6964239453074308
0_i132_intr.s,0.6955867670514833
4_eth1_rxkB.s,0.6949274904593356
5_eth1_rxpck.s,0.6947266945939826
2_eth1_.ifutil,0.694629488001321
4_eth1_txkB.s,0.6935687204591174
20_TxPacktes,0.6934746749312758
20_TxPacktes.1,0.6934746749312758
21_RxPacktes.1,0.6933791121024508
21_RxPacktes,0.6933791121024508
2_eth1_txkB.s,0.6931302917418346
20_TxBytes.1,0.6930136835517594
20_TxBytes,0.6930136835517594
21_TxBytes,0.6925033983437924
21_TxBytes.1,0.6925033983437924
0_TxBytes,0.6920276220817608
0_TxBytes.1,0.6920276220817608
21_TxPacktes,0.6916380775430341
21_TxPacktes.1,0.6916380775430341
21_RxBytes,0.6914411710302489
21_RxBytes.1,0.6914411710302489
0_RxBytes,0.6911443891438573
0_RxBytes.1,0.6911443891438573
2_i138_intr.s,0.6910729618811329
20_RxPacktes,0.6910136513392175
20_RxPacktes.1,0.6910136513392175
20_RxBytes.1,0.6909726135039381
20_RxBytes,0.6909726135039381
5_i136_intr.s,0.6908057697843318
0_TxPacktes.1,0.6906789245743863
0_TxPacktes,0.6906789245743863
4_eth1_.ifutil,0.6906743365580885
0_RxPacktes,0.6902098959438061
0_RxPacktes.1,0.6902098959438061
1_i128_intr.s,0.690127045595631
0_i129_intr.s,0.6894235030265344
3_eth1_rxkB.s,0.6886056855549262
1_eth1_rxkB.s,0.6884085075427748
5_i137_intr.s,0.6871356930653574
5_i142_intr.s,0.6870481754881316
5_i139_intr.s,0.6868537863809796
3_eth1_txkB.s,0.6856021537096103
2_i140_intr.s,0.6855766035438751
34_RxBytes.1,0.6853510411151126
34_RxBytes,0.6853510411151126
3_eth1_.ifutil,0.6853409538108244
34_TxBytes.1,0.6853250939769779
34_TxBytes,0.6853250939769779
4_i122_intr.s,0.6842918038992579
34_RxPacktes.1,0.6842330514179115
34_RxPacktes,0.6842330514179115
0_eth1_.ifutil,0.6837818733057213
0_eth1_txkB.s,0.6836198667932192
3_i126_intr.s,0.6819356570084735
1_eth1_.ifutil,0.6810525688634558
34_TxPacktes,0.6803368772938787
34_TxPacktes.1,0.6803368772938787
1_eth1_txkB.s,0.6798602392989189
3_i131_intr.s,0.6790633915956041
5_eth1_txkB.s,0.6760763123188751
5_eth1_.ifutil,0.6751249762713214
4_i120_intr.s,0.6732307525518093
5_eth1_rxkB.s,0.6726590707079274
1_i130_intr.s,0.6720779597979619
3_i130_intr.s,0.6714680263022447
36_TxBytes.1,0.6669734799221562
36_TxBytes,0.6669734799221562
1_i126_intr.s,0.6669422970897153
4_i121_intr.s,0.6637200705174124
5_i140_intr.s,0.6601689446333655
1_i133_intr.s,0.6578494496282136
2_i137_intr.s,0.6569853301875508
36_TxPacktes,0.6538347826701945
36_TxPacktes.1,0.6538347826701945
36_RxBytes,0.6536144400967331
36_RxBytes.1,0.6536144400967331
0_i130_intr.s,0.6526153485804098
36_RxPacktes.1,0.6516868341088592
36_RxPacktes,0.6516868341088592
5_i138_intr.s,0.6507365817503038
4_i117_intr.s,0.6384057727064242
5_i135_intr.s,0.6045596653208235
0_i126_intr.s,0.5463874421671632
3_sum_intr.s,0.44302795863163585
1_sum_intr.s,0.44173001966804915
1_ldavg.15,0.4342443961267643
4_temp1_.temp,0.422055285486508
4_temp2_.temp,0.422055285486508
4_temp1_degC,0.42186109801122934
4_temp2_degC,0.42186109801122934
1_temp1_.temp,0.41392689787149656
1_temp1_degC,0.41382836393624894
5_temp2_degC,0.4057964827313039
5_temp1_degC,0.4057964827313039
5_temp2_.temp,0.40543558058990825
5_temp1_.temp,0.40543558058990825
0_sum_intr.s,0.3896880476084234
2_kbinact,0.38014369486239963
4_sum_intr.s,0.3761620729472134
0_temp1_.temp,0.362547936917088
0_temp1_degC,0.36249704975292546
5_ldavg.5,0.3561584455611173
4_all_..soft,0.3549343239117415
5_temp4_.temp,0.35441338594936034
5_temp4_degC,0.35399303103538565
5_temp3_.temp,0.35321242581520884
5_temp3_degC,0.35277747485056055
5_all_..soft,0.3479807938649175
1_ldavg.5,0.32882436209392024
1_all_..soft,0.32832501418354265
4_totsck,0.3268331046907938
3_temp1_.temp,0.326033733740902
3_temp1_degC,0.3253901199134795
4_tcpsck,0.32514435406823194
3_all_..soft,0.32415102881265895
3_kbmemfree,0.3162669942886836
2_all_..soft,0.3153024463817336
3_X.dev.mapper.cloud..8.root_Ifree,0.3149421664409422
3_X.dev.mapper.cloud..8.root_MBfsfree,0.31486948183620017
0_all_..soft,0.3147266735122449
3_cpu13_.soft,0.31451622656138234
5_ldavg.15,0.31236899901197734
5_sum_intr.s,0.3081730762966886
2_temp2_.temp,0.3052634914679177
1_temp2_.temp,0.30522790226597135
2_temp2_degC,0.30502129198261624
1_temp2_degC,0.30481952456092226
2_temp1_.temp,0.2976932423574397
2_temp1_degC,0.29754310718751054
1_temp3_.temp,0.29721085184374374
1_temp4_.temp,0.2968846410927712
1_temp3_degC,0.29683781893534433
1_temp4_degC,0.29648073003736614
5_kbmemused,0.2840505078176794
5_X..memused,0.28404242479842917
0_ldavg.15,0.2818774903759426
5_kbcached,0.2798797174025925
2_sum_intr.s,0.2734025561852746
5_X.dev.mapper.cloud..5.root_Iused,0.27057947815695377
0_X.dev.mapper.cloud..2.root_MBfsfree,0.2698447215221529
5_cpu11_.iowait,0.2696639776370807
2_X.dev.mapper.cloud..7.root_MBfsfree,0.26861973725776367
4_kbinact,0.26831224456356906
2_X.dev.mapper.cloud..7.root_Ifree,0.264551567966671
2_passive.s,0.263089676243441
0_ldavg.5,0.2607575037842532
0_X.dev.mapper.cloud..2.root_Ifree,0.2564915718681021
5_X.dev.mapper.cloud..5.root_MBfsused,0.25630680663936684
5_X.dev.mapper.cloud..5.root_.fsused,0.25617161344818606
5_X.dev.mapper.cloud..5.root_.ufsused,0.2560331160295201
2_kbmemfree,0.2548037472144861
5_kbactive,0.2533583188932962
3_kbinact,0.24272106406585833
0_temp4_degC,0.24041600771283458
0_temp4_.temp,0.24035497824676802
2_cpu0_.usr,0.2396049123545429
0_temp2_.temp,0.23920937136661155
0_temp2_degC,0.2390205634390339
0_kbmemfree,0.23811499453703608
0_temp3_degC,0.2376780740786272
0_temp3_.temp,0.23762563939347595
1_X.dev.mapper.cloud..3.root_MBfsfree,0.2339931843535053
3_cpu15_.usr,0.2332246410212669
5_X..swpcad,0.22789062138279872
5_kbswpcad,0.2274036534306437
4_X.dev.mapper.cloud..9.root_MBfsfree,0.2254823447242141
3_kbdirty,0.2252037502510525
2_kbbuffers,0.22477002049269892
4_kbmemfree,0.22303256221324072
1_X..swpcad,0.22163934566136057
1_X.dev.mapper.cloud..3.root_Ifree,0.220786350501207
4_X.dev.mapper.cloud..9.root_Ifree,0.21393913674857484
1_kbinact,0.2101463018020015
1_X..commit,0.20979593916556522
1_kbcommit,0.20979593916556497
3_ldavg.15,0.20771346158032475
1_kbmemfree,0.2029803432011075
3_cpu13_.usr,0.20060069565305844
4_dev252.0_rd_sec.s,0.19946941571825258
4_rtps,0.19740419718391464
1_kbswpcad,0.19708010677416923
4_pgpgin.s,0.19685542462049
4_dev8.5_rd_sec.s,0.1961951454478768
4_dev8.0_rd_sec.s,0.19606139167857317
3_temp2_.temp,0.19579293277489984
3_temp2_degC,0.19576611427285057
5_cpu11_.sys,0.19527375756936505
5_kbdirty,0.19488315582795324
1_all_..sys,0.1946514350851953
0_kbdirty,0.19423606738828814
4_bread.s,0.19383544153719495
2_ldavg.5,0.19240776175287103
1_kbdirty,0.1922211543732918
4_cpu12_.usr,0.19142638106196055
0_kbinact,0.18944130461698735
0_kbcommit,0.18814634922722012
4_cswch.s,0.1880343959387886
5_rtps,0.18212743809351925
1_cpu0_.usr,0.18202593044065182
3_all_..sys,0.17832588076309186
0_all_..sys,0.17795200824062368
2_file.nr,0.17699319577880906
0_X..commit,0.17054713340757066
5_cpu18_.usr,0.1690647471473396
4_dev8.5_tps,0.16862478178719892
4_dev8.0_tps,0.16807469480241466
2_rtps,0.1675891770633097
2_cpu22_.usr,0.16675374013719232
4_tps,0.16665159112439754
4_i116_intr.s,0.16603011074885346
5_cpu22_.usr,0.16594463305594204
4_cpu0_.usr,0.16546429170687685
2_dev252.0_rd_sec.s,0.16366236145879087
2_pgpgin.s,0.16199906449539667
2_dev8.0_rd_sec.s,0.1614544189844083
2_dev8.5_rd_sec.s,0.1614544189844083
4_dev252.0_tps,0.16137953866440077
4_kbdirty,0.16099814464106707
5_dev8.5_tps,0.16047525718045622
2_bread.s,0.1604131283906276
5_inode.nr,0.16029356715870013
5_tps,0.16021176098481776
5_dev8.0_tps,0.1600047548734598
5_dev252.0_tps,0.1596026158622628
5_i116_intr.s,0.15959103723414503
