,0
4_i123_intr.s,0.08858446444278545
4_i124_intr.s,0.05728651600426856
4_oseg.s,0.04370987408117358
1_i127_intr.s,0.04152758290846728
2_i138_intr.s,0.03662314372126758
5_i137_intr.s,0.03346045151433789
1_i128_intr.s,0.026757467108907078
4_passive.s,0.025163183153694226
5_passive.s,0.024717579503582485
0_i133_intr.s,0.024194796850571153
0_idel.s,0.02412644479355829
3_i127_intr.s,0.022542699411198294
4_iseg.s,0.022292695444330626
0_iseg.s,0.017904508107834727
4_orq.s,0.016523117447600412
1_eth1_.ifutil,0.01581547003446244
5_oseg.s,0.014862046269558789
0_oseg.s,0.013157619156396995
2_frmpg.s,0.013154290662444262
3_passive.s,0.012189168664995887
4_i118_intr.s,0.011868540417581478
3_i129_intr.s,0.011358495941724174
0_i132_intr.s,0.011146454046690618
1_eth1_txkB.s,0.011129159809521807
4_idel.s,0.009808458409547952
2_pgfree.s,0.008152399430788678
0_irec.s,0.007001528565011639
5_iseg.s,0.006818318880012001
3_fault.s,0.006746352719622337
5_i136_intr.s,0.006719682392948741
5_i138_intr.s,0.006636016978733033
2_i140_intr.s,0.0059125343859398076
0_eth1_txkB.s,0.005868914975797636
5_idel.s,0.005829947092525447
1_cpu22_.usr,0.004949700041342333
0_orq.s,0.004767411307134584
2_dev8.0_.util,0.004277295588347874
5_cpu5_.idle,0.003464754855198532
2_cswch.s,0.002921234789161784
0_cswch.s,0.0028674392639311545
2_dev8.0_avgqu.sz,0.002553477672073308
2_dev8.5_avgqu.sz,0.0025364114523683183
2_dev8.5_.util,0.0024825283398604097
3_cpu11_.sys,0.0023778068572883186
1_fault.s,0.002149416157004842
5_ldavg.5,0.0021352388855722
1_cpu14_.usr,0.0021001979110662526
0_eth1_txpck.s,0.0018988672480630881
3_cpu15_.idle,0.001872167744899099
2_eth1_txpck.s,0.001814047698604059
2_iseg.s,0.0016452739302637116
2_eth1_txkB.s,0.0015771799758662374
2_dev252.0_.util,0.0015139922291611389
1_cpu6_.usr,0.001491044151368351
