,0
4_iseg.s,0.004708562316099277
5_i137_intr.s,0.003946228519857535
15_TxPacktes.1,0.0037433389050960104
20_TxBytes,0.00370245625465047
3_i131_intr.s,0.003211190285147146
1_i128_intr.s,0.0030365930984631363
0_irec.s,0.0029102013220636607
1_i127_intr.s,0.0028826993944779476
15_TxBytes,0.002866077382704422
4_RxPacktes,0.002809239593023348
3_iseg.s,0.00279109021785009
2_eth1_txpck.s,0.0027475537509867093
0_RxPacktes.1,0.002450023603774484
3_eth1_rxpck.s,0.002293703706198039
4_i123_intr.s,0.002135156216367956
17_TxBytes.1,0.0021102578464217317
30_RxBytes.1,0.002051811846299325
29_TxPacktes.1,0.0019943316652886547
1_orq.s,0.001993239501582486
2_i138_intr.s,0.001989688934549991
29_TxBytes,0.0019769541092616912
4_idel.s,0.001973284381121799
0_i132_intr.s,0.0019731453157758555
0_i133_intr.s,0.0019691713433024624
2_i139_intr.s,0.0019660341647410005
5_i142_intr.s,0.0019645008683389508
1_eth1_.ifutil,0.0019496598683233838
4_i122_intr.s,0.0019390378454620981
4_TxPacktes.1,0.0019243985423531926
5_i138_intr.s,0.0018988666577812838
30_RxBytes,0.0018851434848341552
2_orq.s,0.001878290419257492
0_iseg.s,0.001872725509053052
3_i127_intr.s,0.0018682029953833224
15_RxPacktes.1,0.0018611285068316087
0_i126_intr.s,0.0018584149820566251
2_eth1_.ifutil,0.0018576091580337797
4_oseg.s,0.0018530870361827525
3_oseg.s,0.001850640524748911
4_eth1_txkB.s,0.001844342820161139
30_TxPacktes.1,0.0018399936444863487
1_eth1_rxkB.s,0.001839184152776448
3_orq.s,0.0018357573036797933
5_eth1_rxpck.s,0.001827561555054003
2_idel.s,0.0018272023157521447
17_TxPacktes,0.0018225128816717591
4_i120_intr.s,0.001814854486404683
30_RxPacktes.1,0.0018108707409383634
5_oseg.s,0.0018044491410256214
5_i135_intr.s,0.0018027333008543906
15_RxBytes,0.0018007511151962672
1_i133_intr.s,0.0018001028054572777
21_TxPacktes.1,0.0017964479224985403
2_eth1_rxpck.s,0.0017946600065097509
1_idel.s,0.0017890078617205732
41_TxPacktes.1,0.0017877179184791479
40_RxBytes,0.0017874907986236638
40_RxPacktes.1,0.0017862997472519705
17_RxPacktes.1,0.0017717902745413017
2_i136_intr.s,0.0017646407720737192
29_RxBytes,0.0017571713073673625
3_i128_intr.s,0.0017530043801729511
0_RxPacktes,0.0017396634094076157
1_oseg.s,0.0017256563381780076
0_eth1_rxkB.s,0.001725173417099907
34_RxPacktes.1,0.0017019029565521948
41_TxPacktes,0.0017018223714941195
5_i136_intr.s,0.001700424803999904
4_TxBytes.1,0.0016943613139683692
34_TxPacktes.1,0.0016927058027961718
4_TxPacktes,0.0016777488438360034
1_eth1_rxpck.s,0.0016606796770666005
4_RxBytes.1,0.0016027506470815314
21_RxPacktes,0.0015999992722833755
3_irec.s,0.0015574585729040962
34_TxBytes.1,0.0014860857279332801
2_eth1_rxkB.s,0.0014570519828550916
40_TxPacktes,0.001423435048555352
5_eth1_txkB.s,0.0014170457674401796
4_orq.s,0.0014128788152393337
34_RxPacktes,0.0013844003318408639
3_i133_intr.s,0.0012866694164521241
0_idel.s,0.0011911473615010724
3_all_..soft,0.0011901161134382178
5_idel.s,0.0011647291790199234
36_RxPacktes,0.0011544230906169106
41_RxPacktes.1,0.0011163370920340356
1_eth1_txpck.s,0.0010698767905044895
1_irec.s,0.0010604951818081283
3_idel.s,0.001048564773128602
2_i141_intr.s,0.0010309271507728888
1_eth1_txkB.s,0.0010191177349969688
41_TxBytes,0.0009946691225426604
4_i118_intr.s,0.0009936824283036819
3_eth1_txkB.s,0.0009870250754525965
29_RxPacktes.1,0.0009791901380831625
15_TxBytes.1,0.0009764647583830733
1_iseg.s,0.0009548997534257672
41_RxPacktes,0.00095038382392803
2_cpu0_.sys,0.0009503297359694012
2_cswch.s,0.000946614049189711
0_TxBytes.1,0.0009417807994552236
1_i022_intr.s,0.0009397481661395793
4_RxBytes,0.0009370254853483766
3_i117_intr.s,0.0009362144167950583
5_cpu20_.usr,0.0009337407100265551
3_eth1_.ifutil,0.000929146397472267
21_TxBytes.1,0.0009249895199986394
3_eth1_txpck.s,0.0009225953493506334
5_cpu18_.idle,0.0009185388714971479
17_RxBytes.1,0.0009179342865297799
4_cpu8_.usr,0.0009151548473837953
0_eth1_txpck.s,0.0009097480721114183
2_cpu10_.idle,0.0009068562926607933
0_cswch.s,0.0009054555184490055
4_RxPacktes.1,0.000903099650668983
3_sum_intr.s,0.0009025172055546034
4_cpu0_.usr,0.0009021306713064587
41_RxBytes,0.0009016454124264181
5_irec.s,0.0009001486887081447
2_i142_intr.s,0.0008932515890011232
4_i117_intr.s,0.0008927529572943689
3_kbdirty,0.0008926922195027865
4_eth1_rxpck.s,0.0008910799102695925
17_RxPacktes,0.0008886539109826054
4_eth1_txpck.s,0.0008868843796039252
4_i119_intr.s,0.0008847386967799915
3_cpu15_.sys,0.0008830623387357928
1_all_..soft,0.000881222083128658
1_i131_intr.s,0.0008808239715220986
40_RxPacktes,0.0008807198454650099
0_i128_intr.s,0.0008793763977905208
1_i126_intr.s,0.0008781584449343467
29_RxPacktes,0.0008777832438508675
2_cpu14_.idle,0.000876917177139763
5_cpu18_.sys,0.0008765299685433738
5_eth0_rxpck.s,0.0008755334725501497
5_cpu10_.idle,0.0008735847979929453
4_eth1_rxkB.s,0.0008735699794197544
3_i129_intr.s,0.0008725028632645249
0_cpu10_.idle,0.0008723346138693457
4_temp1_.temp,0.0008721963851542776
0_oseg.s,0.0008706474976573707
30_TxBytes,0.0008686972111312605
2_temp3_.temp,0.0008680464449294704
0_cpu22_.sys,0.0008680395983522258
0_i130_intr.s,0.0008646560575556274
0_eth1_rxpck.s,0.0008629966373126413
2_oseg.s,0.0008605257324853588
0_cpu2_.idle,0.0008601934831413376
0_cpu22_.idle,0.0008591591227477486
4_cpu0_.sys,0.0008586588290168161
5_eth1_txpck.s,0.0008558571475624735
5_orq.s,0.0008557316329766685
4_i121_intr.s,0.0008550089012513072
4_cpu10_.idle,0.0008544645675595166
1_eth0_rxpck.s,0.0008543014583911915
1_cpu0_.sys,0.0008542499353455885
1_cpu16_.idle,0.0008534995948155322
1_RxPacktes,0.0008526168728401493
15_RxBytes.1,0.0008512824141385363
4_dev252.0_svctm,0.0008507768496296721
0_orq.s,0.000848828213440999
4_all_..iowait,0.0008485746893866497
4_i022_intr.s,0.0008479638476589188
4_i124_intr.s,0.0008477721691772031
3_cpu13_.sys,0.0008475293343553264
1_sum_intr.s,0.0008471028703594591
17_TxBytes,0.000847084218286619
2_iseg.s,0.0008466538682059619
0_cpu6_.sys,0.0008459334832749103
5_i140_intr.s,0.0008456878547611787
2_i140_intr.s,0.0008452992155560826
3_eth0_rxpck.s,0.0008445702163546782
3_all_..sys,0.0008445271409794761
2_eth1_txkB.s,0.0008430957701898584
0_i127_intr.s,0.0008424755173882377
40_RxBytes.1,0.0008419404907260253
0_cpu2_.sys,0.0008413006621425325
6_TxBytes,0.0008400807762594807
29_TxPacktes,0.0008397010676837233
5_cpu14_.idle,0.0008393862397003822
4_cpu6_.idle,0.0008388820429746913
