,0
0_all_..usr,0.0
4_fault.s,0.0
4_pgpgin.s,0.0
4_pswpout.s,0.0
4_pswpin.s,0.0
4_i151_intr.s,0.0
4_i148_intr.s,0.0
4_i142_intr.s,0.0
4_i139_intr.s,0.0
4_i133_intr.s,0.0
4_i132_intr.s,0.0
4_i131_intr.s,0.0
4_i130_intr.s,0.0
4_i129_intr.s,0.0
4_i128_intr.s,0.0
4_i127_intr.s,0.0
4_i126_intr.s,0.0
4_i124_intr.s,0.0
4_i123_intr.s,0.0
4_i122_intr.s,0.0
4_i121_intr.s,0.0
4_i120_intr.s,0.0
4_i119_intr.s,0.0
4_i118_intr.s,0.0
4_i117_intr.s,0.0
4_pgpgout.s,0.0
4_majflt.s,0.0
4_kbswpcad,0.0
4_pgfree.s,0.0
4_kbswpused,0.0
4_kbswpfree,0.0
4_kbdirty,0.0
4_kbinact,0.0
4_kbactive,0.0
4_X..commit,0.0
4_kbcommit,0.0
4_kbcached,0.0
4_kbbuffers,0.0
4_X..memused,0.0
4_kbmemused,0.0
4_kbmemfree,0.0
4_campg.s,0.0
4_bufpg.s,0.0
4_frmpg.s,0.0
4_bwrtn.s,0.0
4_bread.s,0.0
4_wtps,0.0
4_rtps,0.0
4_tps,0.0
4_X..vmeff,0.0
4_pgsteal.s,0.0
4_pgscand.s,0.0
4_i116_intr.s,0.0
4_i022_intr.s,0.0
4_sum_intr.s,0.0
4_cswch.s,0.0
4_cpu18_.sys,0.0
4_cpu18_.usr,0.0
4_cpu17_.idle,0.0
4_cpu17_.iowait,0.0
4_cpu17_.sys,0.0
4_cpu17_.usr,0.0
4_cpu16_.idle,0.0
4_cpu16_.soft,0.0
4_cpu16_.iowait,0.0
4_cpu16_.sys,0.0
4_cpu16_.usr,0.0
4_cpu15_.idle,0.0
4_cpu15_.iowait,0.0
4_cpu15_.sys,0.0
4_cpu15_.usr,0.0
4_cpu14_.idle,0.0
4_cpu14_.soft,0.0
4_cpu14_.iowait,0.0
4_cpu14_.sys,0.0
4_cpu14_.usr,0.0
4_cpu13_.idle,0.0
4_cpu13_.iowait,0.0
4_cpu13_.sys,0.0
4_cpu18_.iowait,0.0
4_cpu18_.soft,0.0
4_cpu18_.idle,0.0
4_cpu21_.idle,0.0
4_proc.s,0.0
4_cpu23_.idle,0.0
4_cpu23_.iowait,0.0
4_cpu23_.sys,0.0
4_cpu23_.usr,0.0
4_cpu22_.idle,0.0
4_cpu22_.soft,0.0
4_cpu22_.iowait,0.0
4_cpu22_.sys,0.0
4_cpu22_.usr,0.0
4_cpu21_.iowait,0.0
4_cpu19_.usr,0.0
4_cpu21_.sys,0.0
4_cpu21_.usr,0.0
4_cpu20_.idle,0.0
4_cpu20_.soft,0.0
4_cpu20_.iowait,0.0
4_cpu20_.sys,0.0
