,0
4_i120_intr.s,0.17457384346786167
0_i133_intr.s,0.0734784685218568
5_i139_intr.s,0.05273977590720806
5_i142_intr.s,0.0512347543037473
4_i119_intr.s,0.04327341487752885
5_i138_intr.s,0.03656932340667895
5_i137_intr.s,0.024247445115645666
3_i131_intr.s,0.015854343981706594
5_orq.s,0.013407781624385044
5_i135_intr.s,0.012933651682843706
5_idel.s,0.0122517712700901
4_oseg.s,0.01223513744832274
5_i136_intr.s,0.012184450259706176
3_oseg.s,0.012075815962396477
4_i117_intr.s,0.012060571635325671
3_i130_intr.s,0.011915304149431906
3_orq.s,0.011296690882660786
4_iseg.s,0.011253708050497144
0_orq.s,0.011076972288278314
4_i122_intr.s,0.010772879545095614
4_idel.s,0.008467744472838908
4_irec.s,0.008024569296942483
0_idel.s,0.007295891242459715
4_i123_intr.s,0.006665720805647642
4_orq.s,0.006627035919329846
5_iseg.s,0.006599960351392752
0_i131_intr.s,0.006546648471946213
2_eth1_rxpck.s,0.006483450423310986
3_i128_intr.s,0.006156132863132344
3_eth1_txpck.s,0.006043882506034279
4_i121_intr.s,0.005843352618884839
2_i135_intr.s,0.005656633771075197
5_i140_intr.s,0.005501818164087062
0_i132_intr.s,0.005486942743008779
0_i127_intr.s,0.0038709504338980644
4_i124_intr.s,0.003734097860991315
5_i141_intr.s,0.003558919661589287
5_cswch.s,0.003164340766308483
1_sum_intr.s,0.0030852419130636966
1_cpu20_.sys,0.0030144224015152842
5_cpu22_.sys,0.0028011584160745934
0_iseg.s,0.002524745231768481
5_kbdirty,0.0023792368630658374
0_i126_intr.s,0.002298627187579269
3_i126_intr.s,0.002235084306862567
5_cpu17_.idle,0.002228668074582519
4_i118_intr.s,0.0020624551798357443
2_cpu18_.sys,0.0019286443522275952
3_i127_intr.s,0.0019205737846781814
0_i129_intr.s,0.0018785071547396202
1_TxPacktes,0.0018334169992376143
0_eth1_rxpck.s,0.00171201705696356
2_cpu10_.sys,0.0015865477853446632
0_i130_intr.s,0.0015853716728791377
2_cpu22_.idle,0.0015586117843105274
5_cpu20_.idle,0.0015433757782207594
1_eth1_rxpck.s,0.001464000737653515
3_dev252.0_avgrq.sz,0.0014495785803934314
42_RxBytes,0.0014428118470221415
2_fault.s,0.0013638216022106772
2_i142_intr.s,0.0013032435527368183
3_pgfree.s,0.0012859030763819898
3_kbdirty,0.0012682422398924962
